Elapsed Millisecond,IMU 1 - Acceleration X,IMU 1 - Acceleration Y,IMU 1 - Acceleration Z,IMU 1 - AngularVelocity X,IMU 1 - AngularVelocity Y,IMU 1 - AngularVelocity Z,IMU 2 - Acceleration X,IMU 2 - Acceleration Y,IMU 2 - Acceleration Z,IMU 2 - AngularVelocity X,IMU 2 - AngularVelocity Y,IMU 2 - AngularVelocity Z,IMU 3 - Acceleration X,IMU 3 - Acceleration Y,IMU 3 - Acceleration Z,IMU 3 - AngularVelocity X,IMU 3 - AngularVelocity Y,IMU 3 - AngularVelocity Z,Marker 1 - X,Marker 1 - Y,Marker 1 - Z,Marker 2 - X,Marker 2 - Y,Marker 2 - Z,Marker 3 - X,Marker 3 - Y,Marker 3 - Z,Marker 4 - X,Marker 4 - Y,Marker 4 - Z,Marker 5 - X,Marker 5 - Y,Marker 5 - Z,Marker 6 - X,Marker 6 - Y,Marker 6 - Z,Marker 7 - X,Marker 7 - Y,Marker 7 - Z,Marker 8 - X,Marker 8 - Y,Marker 8 - Z,Marker 9 - X,Marker 9 - Y,Marker 9 - Z,Marker 10 - X,Marker 10 - Y,Marker 10 - Z
1924525,0.05,0.97,-0.29,-4.77,3.75,-2.81,-0.05,1,0.12,-1.24,1.24,-0.75,0.95,-0.03,-0.31,2.87,1.34,-2.87,-257.062836,1278.35767,334.17984,-263.111938,977.318542,321.236969,-252.761734,1377.088,307.719757,-262.853821,944.841553,333.72644,-255.4627,1329.25024,329.120361,-258.2453,1068.43372,315.839874,-260.651337,1224.91931,334.5166,-260.374817,1174.7301,331.384247,-258.27124,1121.81934,326.4837,-258.8186,1037.2395,310.469116
1924535,0.06,0.97,-0.29,-4.78,4.01,-2.6,-0.05,1,0.12,-1.53,1.9,-0.43,0.95,-0.03,-0.31,2.87,1.22,-2.81,-256.934967,1278.37329,334.144,-252.6642,1377.08948,307.6973,-263.077179,977.32,321.190948,-262.692017,944.804138,333.734222,-255.346237,1329.22192,329.044556,-260.583771,1224.95178,334.435577,-258.152344,1068.4436,315.872864,-258.461365,1036.65869,310.090057,-260.331726,1174.76245,331.3304,-258.267029,1121.73389,326.355
1924545,0.06,0.97,-0.29,-4.87,4.04,-2.61,-0.05,1,0.13,-1.53,1.68,-0.5,0.95,-0.03,-0.31,2.69,1.1,-2.81,-256.807831,1278.41016,334.0338,-262.938416,977.310059,321.181763,-262.607117,944.7771,333.717041,-252.430237,1377.12781,307.5368,-255.200378,1329.29272,328.9293,-257.979034,1068.526,315.787323,-260.3983,1224.98242,334.3178,-258.324982,1036.763,310.05542,-260.145,1174.799,331.240417,-258.126831,1121.83374,326.2911
1924555,0.06,0.98,-0.29,-4.66,4.23,-2.73,-0.05,1,0.13,-1.47,1.65,-0.4,0.95,-0.03,-0.31,2.5,1.22,-2.87,-256.7194,1278.43982,333.9801,-262.847137,977.3653,321.161224,-262.549927,944.843262,333.657379,-252.388947,1377.16577,307.462982,-255.097672,1329.30518,328.8773,-258.2087,1036.76025,310.012329,-260.3211,1224.98535,334.2888,-257.842133,1068.50842,315.8114,-260.0218,1174.82092,331.189423,-258.037323,1121.78992,326.314636
1924565,0.06,0.98,-0.29,-4.34,4.39,-2.68,-0.04,1,0.13,-1.48,1.61,-0.6,0.95,-0.03,-0.31,2.2,1.59,-2.87,-256.585846,1278.46472,333.892853,-262.808167,977.387756,321.080719,-255.0434,1329.34033,328.8144,-252.309525,1377.19629,307.407,-262.4031,944.9003,333.657135,-260.2986,1224.9928,334.1905,-257.867462,1068.51379,315.746857,-259.977,1174.83386,331.1103,-258.0234,1121.85339,326.201,-258.437744,1037.30823,310.301544
1924575,0.06,0.98,-0.29,-4.01,4.4,-2.75,-0.05,1,0.12,-1.54,2.08,-0.53,0.95,-0.03,-0.31,2.2,1.59,-2.87,-256.585846,1278.46472,333.892853,-262.808167,977.387756,321.080719,-255.0434,1329.34033,328.8144,-252.309525,1377.19629,307.407,-262.4031,944.9003,333.657135,-260.2986,1224.9928,334.1905,-257.867462,1068.51379,315.746857,-259.977,1174.83386,331.1103,-258.0234,1121.85339,326.201,-258.437744,1037.30823,310.301544
1924585,0.06,0.98,-0.29,-4.36,4.25,-2.66,-0.04,1,0.12,-1.77,1.85,-0.27,0.95,-0.03,-0.31,2.08,1.65,-2.87,-256.478424,1278.42932,333.733063,-262.6972,977.3696,321.047058,-262.3274,944.9445,333.599121,-252.213852,1377.12109,307.240784,-254.942169,1329.32654,328.6497,-257.7298,1068.4574,315.5287,-260.134857,1224.95178,334.063934,-259.835754,1174.78662,331.001831,-258.3554,1037.23779,310.223969,-257.82547,1121.82446,326.096
1924596,0.06,0.98,-0.3,-4.59,3.89,-2.34,-0.04,1,0.13,-1.4,1.75,-0.18,0.95,-0.03,-0.32,2.44,2.01,-2.69,-256.450623,1278.40369,333.6728,-262.6404,977.371,321.011475,-262.312225,944.925964,333.578735,-254.886719,1329.30981,328.5962,-252.126816,1377.153,307.2002,-260.0812,1224.98865,334.0179,-259.759155,1174.82886,330.959259,-257.651978,1068.46851,315.498871,-257.807526,1121.82153,326.1158,-258.295258,1037.21924,310.209534
1924605,0.06,0.98,-0.29,-5.49,3.6,-2.1,-0.04,1,0.12,-1.51,1.85,-0.31,0.95,-0.03,-0.32,2.44,2.01,-2.69,-256.344177,1278.44873,333.5761,-262.5981,977.40564,320.957367,-262.286926,944.99,333.508331,-254.8573,1329.32776,328.519867,-252.0606,1377.20679,307.1064,-257.6527,1068.45483,315.384155,-260.006134,1224.95789,333.934021,-259.704529,1174.81958,330.875946,-257.788177,1121.86267,325.982178,-258.219055,1037.27515,310.174316
1924615,0.06,0.98,-0.29,-5.45,3.67,-1.8,-0.04,1,0.13,-1.34,1.85,-0.27,0.95,-0.03,-0.32,2.38,2.14,-2.69,-256.250763,1278.462,333.5009,-262.442169,977.4134,320.887726,-254.634613,1329.36133,328.444153,-262.129425,945.0023,333.5257,-252.048523,1377.15979,307.0214,-259.9364,1225.00757,333.864868,-259.597961,1174.84058,330.728973,-257.540466,1068.49817,315.391174,-257.639465,1121.76538,326.004974,-258.1575,1037.28088,310.1311
