Elapsed Millisecond,IMU 1 - Acceleration X,IMU 1 - Acceleration Y,IMU 1 - Acceleration Z,IMU 1 - AngularVelocity X,IMU 1 - AngularVelocity Y,IMU 1 - AngularVelocity Z,IMU 2 - Acceleration X,IMU 2 - Acceleration Y,IMU 2 - Acceleration Z,IMU 2 - AngularVelocity X,IMU 2 - AngularVelocity Y,IMU 2 - AngularVelocity Z,IMU 3 - Acceleration X,IMU 3 - Acceleration Y,IMU 3 - Acceleration Z,IMU 3 - AngularVelocity X,IMU 3 - AngularVelocity Y,IMU 3 - AngularVelocity Z,Marker 1 - X,Marker 1 - Y,Marker 1 - Z,Marker 2 - X,Marker 2 - Y,Marker 2 - Z,Marker 3 - X,Marker 3 - Y,Marker 3 - Z,Marker 4 - X,Marker 4 - Y,Marker 4 - Z,Marker 5 - X,Marker 5 - Y,Marker 5 - Z,Marker 6 - X,Marker 6 - Y,Marker 6 - Z,Marker 7 - X,Marker 7 - Y,Marker 7 - Z,Marker 8 - X,Marker 8 - Y,Marker 8 - Z,Marker 9 - X,Marker 9 - Y,Marker 9 - Z,Marker 10 - X,Marker 10 - Y,Marker 10 - Z
2178632,-0.1,0.6,0.8,-4,3.09,-1.5,-0.17,-0.07,0.95,-1.86,0.93,0.33,0.44,-0.01,0.89,3.11,1.77,-2.32,-126.357719,1134.219,159.6291,-95.91647,1140.43,118.91394,-29.5108356,1138.84729,38.2181129,0.845353,1125.85791,-2.752685,-61.3555336,1140.00354,78.55157,-187.654022,1104.83,241.512,-157.148773,1120.333,202.032608,-247.028168,1061.49011,316.4039,-266.6805,1034.05273,349.1805,-216.1774,1082.98877,276.5435
2178642,-0.1,0.6,0.8,-3.96,2.99,-1.3,-0.17,-0.07,0.95,-1.88,1,0.21,0.44,-0.01,0.89,3.17,1.77,-2.14,-126.26767,1134.20544,159.607117,-95.8609161,1140.38611,118.902992,-29.4613171,1138.84167,38.20642,0.901241,1125.785,-2.800937,-61.24076,1139.93054,78.64743,-187.55397,1104.79492,241.5347,-157.115829,1120.25989,202.057571,-246.9489,1061.47925,316.423584,-266.561218,1034.01306,349.18634,-216.128708,1082.99438,276.5203
2178652,-0.11,0.6,0.8,-4.09,3.07,-1.66,-0.17,-0.08,0.95,-2.01,1.1,0.23,0.44,0,0.89,3.3,1.83,-2.01,-126.241951,1134.15222,159.631378,-95.80338,1140.35376,118.886093,-29.4400616,1138.75513,38.1549759,0.949941635,1125.71582,-2.80452037,-187.5566,1104.77612,241.467484,-61.3032341,1139.9104,78.51602,-157.095825,1120.26208,202.02713,-246.893341,1061.46423,316.420349,-266.4376,1034.0304,349.306366,-216.062149,1082.96655,276.5246
2178662,-0.11,0.6,0.8,-4.24,2.95,-1.47,-0.18,-0.08,0.96,-1.95,0.95,0.33,0.44,0,0.9,3.36,1.71,-2.01,-126.21286,1134.09534,159.609344,-95.75421,1140.3136,118.901466,-29.3714581,1138.68921,38.21188,0.9264955,1125.66748,-2.8453927,-187.473251,1104.74817,241.5034,-61.2139359,1139.84143,78.50285,-157.001358,1120.14038,202.042679,-246.819229,1061.46655,316.4692,-266.412964,1034.03857,349.282257,-215.992981,1082.94128,276.581757
2178672,-0.1,0.6,0.8,-3.97,3.46,-1.17,-0.18,-0.08,0.95,-2.21,0.82,0.39,0.44,0,0.9,3.36,1.34,-2.01,-126.1792,1134.09143,159.599823,-95.72056,1140.26831,118.889046,-29.382082,1138.62781,38.152668,0.966873348,1125.59778,-2.83774471,-187.427444,1104.75488,241.519073,-61.185936,1139.82275,78.46357,-246.7704,1061.47119,316.46814,-157.064667,1120.2428,202.0348,-266.343842,1034.04346,349.3392,-215.915,1082.955,276.621582
2178682,-0.1,0.6,0.8,-3.93,4,-1.31,-0.18,-0.08,0.96,-2.24,0.97,0.47,0.44,0,0.9,3.36,1.34,-2.01,-126.128456,1134.09229,159.5982,-95.6956558,1140.25586,118.896309,-29.3470516,1138.59058,38.1183128,-187.37146,1104.72327,241.549133,0.9871688,1125.542,-2.88394427,-61.1344223,1139.70349,78.50501,-156.949829,1120.19312,202.0513,-246.707077,1061.503,316.505432,-266.25354,1034.08081,349.440155,-215.889709,1082.927,276.623657
2178692,-0.1,0.6,0.79,-3.77,3.81,-1.35,-0.18,-0.08,0.96,-2.09,0.76,0.23,0.44,0,0.9,3.23,1.34,-2.01,-126.079086,1134.05823,159.594742,-95.63044,1140.19788,118.888512,-29.3618851,1138.51611,38.0996475,-187.336349,1104.74573,241.546,0.952723742,1125.49463,-2.94665837,-61.1375427,1139.70508,78.50526,-156.92659,1120.22913,202.049911,-246.683716,1061.49988,316.5401,-266.191925,1034.063,349.4652,-215.960052,1082.93066,276.455
2178702,-0.1,0.6,0.8,-3.86,3.9,-1.3,-0.18,-0.07,0.95,-2.27,0.73,0.29,0.44,0,0.9,2.99,1.34,-1.83,-126.041969,1134.06,159.5925,-95.6122,1140.21423,118.853516,-29.2904167,1138.51526,38.04952,0.9716866,1125.43884,-2.97934318,-187.387314,1104.76807,241.4744,-156.849426,1120.21643,202.0584,-61.1147346,1139.71753,78.43069,-246.591248,1061.50171,316.555939,-266.091919,1034.06,349.499756,-215.805481,1082.96924,276.576965
2178712,-0.1,0.6,0.79,-3.96,3.84,-1.11,-0.18,-0.08,0.96,-2.27,1.05,0.47,0.44,0,0.9,2.93,1.34,-1.71,-126.001984,1134.03821,159.583328,-95.54837,1140.18494,118.817947,-29.3243065,1138.47888,37.9855,-187.216614,1104.749,241.56369,0.9885258,1125.40308,-3.00376749,-61.08635,1139.7074,78.38942,-156.783585,1120.237,202.003769,-246.494415,1061.52576,316.560333,-266.0239,1034.08252,349.56012,-215.695847,1082.99023,276.618958
2178723,-0.1,0.6,0.8,-4,3.67,-1.24,-0.18,-0.08,0.96,-2.2,0.88,0.87,0.43,0,0.89,2.75,1.4,-1.71,-125.954575,1134.01367,159.513977,-95.49971,1140.16577,118.815094,-29.2905731,1138.43457,37.94496,0.9942157,1125.306,-3.10686255,-187.122482,1104.78735,241.5417,-61.0299644,1139.66467,78.3849,-156.743988,1120.1792,201.992554,-246.437912,1061.49841,316.5489,-265.922241,1034.06433,349.5535,-215.64946,1082.96375,276.615723
