Elapsed Millisecond,IMU 1 - Acceleration X,IMU 1 - Acceleration Y,IMU 1 - Acceleration Z,IMU 1 - AngularVelocity X,IMU 1 - AngularVelocity Y,IMU 1 - AngularVelocity Z,IMU 2 - Acceleration X,IMU 2 - Acceleration Y,IMU 2 - Acceleration Z,IMU 2 - AngularVelocity X,IMU 2 - AngularVelocity Y,IMU 2 - AngularVelocity Z,IMU 3 - Acceleration X,IMU 3 - Acceleration Y,IMU 3 - Acceleration Z,IMU 3 - AngularVelocity X,IMU 3 - AngularVelocity Y,IMU 3 - AngularVelocity Z,Marker 1 - X,Marker 1 - Y,Marker 1 - Z,Marker 2 - X,Marker 2 - Y,Marker 2 - Z,Marker 3 - X,Marker 3 - Y,Marker 3 - Z,Marker 4 - X,Marker 4 - Y,Marker 4 - Z,Marker 5 - X,Marker 5 - Y,Marker 5 - Z,Marker 6 - X,Marker 6 - Y,Marker 6 - Z,Marker 7 - X,Marker 7 - Y,Marker 7 - Z,Marker 8 - X,Marker 8 - Y,Marker 8 - Z,Marker 9 - X,Marker 9 - Y,Marker 9 - Z,Marker 10 - X,Marker 10 - Y,Marker 10 - Z
1085794,-0.25,0.51,0.82,-4.74,3.36,0.72,-0.12,-0.11,0.96,-2.34,-0.95,2.91,0.54,0.11,0.83,2.44,0.79,-0.12,-93.36699,1095.18188,185.646164,-135.831284,1082.867,214.8727,-47.00337,1093.519,158.89856,-3.47099781,1091.00427,132.6281,-287.195251,992.901062,320.754028,-319.46756,967.8197,345.151184,-175.346863,1061.35,242.818329,39.3219032,1078.416,104.36602,-215.186218,1041.68945,269.591522,-247.2254,1011.76843,292.23053
1085803,-0.25,0.51,0.82,-4.66,3.11,0.82,-0.11,-0.11,0.97,-2.43,-0.8,2.84,0.54,0.11,0.83,2.44,0.79,-0.12,-135.816132,1082.87146,214.755142,-93.32541,1095.16321,185.478546,-3.47061849,1090.98547,132.442749,-47.02777,1093.50024,158.7003,-287.140167,992.9228,320.724762,-319.332123,967.8647,345.204224,-175.302292,1061.36121,242.6899,39.3480225,1078.419,104.166351,-215.133865,1041.74719,269.559753,-247.096451,1011.79346,292.2456
1085813,-0.24,0.51,0.82,-4.68,3.17,0.96,-0.12,-0.11,0.96,-2.46,-0.98,2.73,0.54,0.11,0.83,2.56,0.92,0,-135.816132,1082.87146,214.755142,-93.32541,1095.16321,185.478546,-3.47061849,1090.98547,132.442749,-47.02777,1093.50024,158.7003,-287.140167,992.9228,320.724762,-319.332123,967.8647,345.204224,-175.302292,1061.36121,242.6899,39.3480225,1078.419,104.166351,-215.133865,1041.74719,269.559753,-247.096451,1011.79346,292.2456
1085823,-0.25,0.51,0.82,-4.61,3.3,1,-0.12,-0.11,0.96,-2.54,-1.03,2.89,0.54,0.11,0.83,2.75,0.92,0.06,-135.774063,1082.79138,214.50032,-93.3589249,1095.0824,185.163147,-3.514822,1090.881,132.007919,-287.024,992.9238,320.651733,-47.0776024,1093.38489,158.339432,-319.1864,967.851135,345.2249,-175.225754,1061.266,242.518845,39.1986,1078.27234,103.59066,-214.986588,1041.69348,269.414917,-247.036942,1011.78235,292.1579
1085833,-0.25,0.51,0.82,-4.66,3.14,0.92,-0.11,-0.11,0.97,-2.48,-1.03,3.07,0.54,0.11,0.83,2.75,0.92,0.06,-93.36093,1095.0155,185.004028,-135.735336,1082.79089,214.368149,-3.62234378,1090.79578,131.743286,-47.08686,1093.35156,158.109283,-286.953552,992.8966,320.647552,-319.1428,967.838135,345.197021,-175.263412,1061.25916,242.384109,39.11025,1078.16187,103.315453,-214.953323,1041.68884,269.2661,-247.008881,1011.73523,292.1454
1085844,-0.24,0.51,0.83,-4.67,3.2,0.89,-0.11,-0.11,0.97,-2.19,-0.83,3.2,0.54,0.11,0.83,2.87,0.98,0.12,-135.757034,1082.747,214.201645,-93.36614,1095.006,184.826126,-3.70556,1090.72827,131.503647,-47.0882645,1093.30872,157.96994,-286.8798,992.93,320.582275,-318.989349,967.8559,345.240173,39.0399742,1078.0874,103.0867,-175.2135,1061.22827,242.2493,-214.929489,1041.64172,269.20282,-246.970184,1011.76062,292.098663
1085853,-0.24,0.51,0.83,-4.65,3.27,0.67,-0.11,-0.11,0.97,-2.21,-0.92,3.06,0.54,0.11,0.84,2.99,0.85,0.12,-135.73764,1082.71643,214.061478,-93.37318,1094.96375,184.683472,-3.7121377,1090.70264,131.3138,-47.1058464,1093.25586,157.799164,-286.84,992.933,320.5555,-318.93866,967.8825,345.1848,39.0037231,1078.02429,102.91452,-175.16568,1061.21936,242.161057,-214.887115,1041.615,269.124817,-246.869232,1011.76233,292.064758
1085863,-0.25,0.51,0.82,-4.43,3.35,0.9,-0.11,-0.11,0.98,-2.38,-0.9,3.23,0.54,0.11,0.84,3.05,0.85,0.18,-93.36575,1094.93579,184.5343,-135.7469,1082.6709,213.918549,-3.752104,1090.64111,131.117661,-47.1500168,1093.23279,157.599579,-286.772,992.968933,320.515167,-318.8614,967.8755,345.231476,38.89042,1078.01282,102.604416,-214.8394,1041.67053,269.108,-246.832291,1011.81464,292.015778,-175.29834,1061.183,241.963058
1085873,-0.25,0.51,0.83,-4.31,3.41,0.79,-0.11,-0.11,0.97,-2.27,-0.67,3.31,0.53,0.11,0.84,3.11,0.98,0.18,-93.4271,1094.92761,184.395111,-135.7624,1082.66956,213.83255,-3.82792664,1090.63049,130.947174,-47.1951065,1093.2251,157.433945,-286.719818,992.9884,320.513153,-318.8071,967.9495,345.209137,-214.865,1041.692,269.038269,38.84913,1077.97131,102.429146,-175.119949,1061.225,242.013809,-246.793381,1011.78217,292.01767
1085883,-0.25,0.51,0.83,-4.38,3.23,0.69,-0.12,-0.11,0.97,-2.17,-0.52,3,0.54,0.11,0.83,3.17,1.22,0.06,-93.4397049,1094.89221,184.245117,-135.7594,1082.66309,213.70578,-3.84621239,1090.5603,130.777878,-47.226696,1093.16431,157.272949,-286.655029,993.0112,320.465332,-318.798737,967.9296,345.192749,38.8000221,1077.9054,102.199684,-214.814636,1041.7019,268.9677,-175.168518,1061.23987,241.9029,-246.790771,1011.7832,291.964783
1085893,-0.24,0.51,0.82,-4.36,3.4,0.92,-0.12,-0.11,0.97,-2.29,-0.6,2.94,0.54,0.11,0.83,3.17,1.28,0.18,-93.4810257,1094.86792,184.127319,-135.777374,1082.645,213.6185,-3.9058795,1090.53174,130.58992,-47.3221321,1093.1687,157.051025,-286.641968,992.999939,320.459869,-318.631439,967.921,345.282135,38.67518,1077.83557,101.977974,-175.16066,1061.19861,241.816315,-214.799942,1041.66467,268.9158,-246.788422,1011.78552,291.821747
1085903,-0.25,0.51,0.83,-4.55,3.55,1.07,-0.12,-0.11,0.97,-2.24,-0.47,2.94,0.54,0.11,0.83,3.3,1.16,0.18,-93.50537,1094.83728,183.992065,-3.98803616,1090.56177,130.334015,-47.3538857,1093.13171,156.896866,-286.574036,992.9889,320.445831,-135.944839,1082.61938,213.325363,-318.626221,967.8551,345.282959,-175.16571,1061.171,241.712265,-214.768372,1041.61536,268.822968,38.5515556,1077.83813,101.711288,-246.7133,1011.75537,291.882019
1085914,-0.24,0.51,0.82,-4.44,3.72,0.98,-0.12,-0.11,0.97,-2.08,-0.48,3.07,0.54,0.11,0.83,3.23,1.22,0.31,-93.54852,1094.83008,183.831,-135.865417,1082.56018,213.326614,-4.03450632,1090.51172,130.158279,-47.4407845,1093.07971,156.681854,-286.560364,992.995667,320.428436,-318.607452,967.885254,345.2422,38.50202,1077.7511,101.510376,-214.807053,1041.613,268.707855,-246.719025,1011.72906,291.819244,-175.096115,1061.14209,241.549988
1085924,-0.24,0.51,0.83,-4.6,3.73,1.17,-0.12,-0.11,0.97,-1.92,-0.7,2.98,0.54,0.11,0.83,3.3,1.28,0.37,-93.58153,1094.77625,183.678574,-135.906281,1082.57507,213.18306,-4.21962929,1090.42725,129.866531,-286.510529,992.987,320.41925,-318.5376,967.9175,345.2328,-214.832626,1041.58484,268.6286,38.4583778,1077.57056,101.337494,-47.6483879,1093.15051,156.269974,-175.155411,1061.14734,241.523987,-246.71019,1011.76538,291.800262
1085935,-0.24,0.51,0.83,-4.62,3.43,1.12,-0.12,-0.11,0.97,-1.66,-0.76,2.96,0.54,0.11,0.83,3.17,1.34,0.37,-93.63953,1094.77527,183.528656,-4.39272356,1090.42749,129.539734,-47.5587921,1093.02234,156.290222,-286.452728,993.009155,320.4093,-136.060577,1082.56384,212.903427,-318.4992,967.9066,345.224762,-214.83194,1041.60681,268.599457,38.3617973,1077.53125,101.0826,-246.676514,1011.766,291.7976,-175.047729,1061.07275,241.295349
1085945,-0.24,0.51,0.82,-4.49,3.6,1.28,-0.11,-0.11,0.97,-1.88,-0.42,3.15,0.54,0.11,0.83,3.17,1.46,0.49,-93.69559,1094.76819,183.346664,-4.517162,1090.38562,129.299988,-286.441345,993.0422,320.364,-136.121292,1082.53674,212.776016,-318.3729,967.9721,345.284637,-214.796432,1041.62463,268.488434,-47.7669029,1093.10754,155.893112,38.2508278,1077.531,100.832909,-246.614548,1011.8045,291.73996,-175.115555,1061.24243,241.2694
1085955,-0.24,0.51,0.82,-4.39,3.55,1.39,-0.12,-0.11,0.97,-1.89,-0.68,3.23,0.54,0.11,0.83,3.17,1.46,0.49,-93.7533,1094.74414,183.215256,-135.994278,1082.559,212.7775,-286.420715,993.092041,320.3445,-47.706295,1093.02808,155.899933,-318.378418,968.01886,345.281982,-4.7103014,1090.38538,128.934265,-214.766037,1041.65088,268.4691,-175.166855,1061.16846,241.2082,-246.616531,1011.837,291.696564,38.2493362,1077.4342,100.768166
