Elapsed Millisecond,IMU 1 - Acceleration X,IMU 1 - Acceleration Y,IMU 1 - Acceleration Z,IMU 1 - AngularVelocity X,IMU 1 - AngularVelocity Y,IMU 1 - AngularVelocity Z,IMU 2 - Acceleration X,IMU 2 - Acceleration Y,IMU 2 - Acceleration Z,IMU 2 - AngularVelocity X,IMU 2 - AngularVelocity Y,IMU 2 - AngularVelocity Z,IMU 3 - Acceleration X,IMU 3 - Acceleration Y,IMU 3 - Acceleration Z,IMU 3 - AngularVelocity X,IMU 3 - AngularVelocity Y,IMU 3 - AngularVelocity Z,Marker 1 - X,Marker 1 - Y,Marker 1 - Z,Marker 2 - X,Marker 2 - Y,Marker 2 - Z,Marker 3 - X,Marker 3 - Y,Marker 3 - Z,Marker 4 - X,Marker 4 - Y,Marker 4 - Z,Marker 5 - X,Marker 5 - Y,Marker 5 - Z,Marker 6 - X,Marker 6 - Y,Marker 6 - Z,Marker 7 - X,Marker 7 - Y,Marker 7 - Z,Marker 8 - X,Marker 8 - Y,Marker 8 - Z,Marker 9 - X,Marker 9 - Y,Marker 9 - Z,Marker 10 - X,Marker 10 - Y,Marker 10 - Z
556538,0.1,1.01,-0.16,-5.47,-1.92,0.48,-0.05,1,0.09,-0.13,-4.26,1.01,0.97,-0.05,-0.23,10.86,2.14,1.04,-259.094757,1264.5675,332.3272,-255.726242,1317.12061,331.6757,-258.312561,1013.97418,302.829346,-258.8969,1213.88342,328.539642,-251.460632,1419.71655,314.290863,-253.674927,1368.61792,329.478149,-254.954727,971.976257,312.579285,-259.188843,1110.38123,314.391846,-258.136475,1162.14734,321.410858,-259.297424,1064.33484,303.820068
556548,0.1,1,-0.16,-5.34,-1.93,0.22,-0.04,1.02,0.09,-0.34,-4.47,1.24,0.98,-0.05,-0.23,10.19,1.95,0.98,-259.251862,1264.49109,332.068726,-258.309082,1013.95416,302.595947,-255.831467,1317.08057,331.3809,-251.659164,1419.64429,314.0001,-253.830231,1368.58154,329.178772,-259.0019,1213.819,328.256866,-258.308929,1162.15466,321.3257,-255.019547,971.993,312.317963,-259.181122,1110.32825,314.147919,-259.273621,1064.27478,303.509155
556558,0.1,1,-0.16,-4.45,-0.27,0.03,-0.05,1.01,0.09,-0.24,-4.87,1.48,0.98,-0.05,-0.23,9.4,1.71,0.92,-259.35495,1264.44971,331.7806,-255.971573,1317.0144,331.153381,-258.333862,1013.91833,302.365875,-251.849319,1419.58081,313.688416,-253.967865,1368.4823,328.9213,-259.132935,1213.7699,327.9399,-258.326935,1162.13367,321.030518,-254.983948,971.915955,312.14624,-259.3475,1064.23047,303.244659,-259.2325,1110.313,313.942017
556568,0.1,1,-0.16,-3.85,0.95,-0.11,-0.04,1.02,0.08,-0.5,-3.12,1.82,0.97,-0.05,-0.23,8.54,1.59,0.73,-256.1138,1317.00732,330.842468,-259.476349,1264.4082,331.5405,-258.3357,1013.87958,302.1253,-252.005539,1419.56628,313.431519,-259.2195,1213.73267,327.710754,-254.119614,1368.42517,328.666351,-255.116455,971.962036,311.799561,-258.317627,1162.1239,320.845764,-259.3766,1064.201,302.964447,-259.199524,1110.29456,313.7393
556579,0.1,1.01,-0.16,-4.67,1.63,-0.27,-0.04,1.06,0.07,-0.17,-2.82,1.86,0.98,-0.05,-0.25,7.32,1.28,0.61,-256.291748,1316.96936,330.588654,-259.569275,1264.417,331.312073,-258.374,1013.85449,301.8956,-259.272858,1213.71741,327.4882,-252.130814,1419.55212,313.1464,-254.314636,1368.4126,328.38858,-258.438568,1162.088,320.545349,-255.026459,971.9655,311.6931,-259.334656,1064.16943,302.78125,-259.20282,1110.23962,313.575775
556588,0.11,1,-0.17,-5.08,2.54,-0.33,-0.03,1,0.11,0.4,-3.98,1.95,0.98,-0.05,-0.25,7.32,1.28,0.61,-259.6207,1264.42566,331.069122,-259.320129,1213.72107,327.25647,-258.3379,1013.8457,301.677368,-256.427948,1316.95239,330.282867,-252.2711,1419.56445,312.9127,-254.432632,1368.39465,328.13797,-258.471161,1162.11548,320.4015,-254.988434,971.9629,311.555145,-259.348,1064.159,302.537567,-259.2507,1110.2041,313.352966
556598,0.11,0.99,-0.16,-5.3,2.92,-0.53,-0.03,1,0.09,0.21,-3.49,2.29,0.97,-0.06,-0.23,7.08,0.85,0.55,-256.5525,1316.94067,330.009979,-259.756439,1264.45471,330.740723,-259.3456,1213.70911,327.024048,-258.315247,1013.86682,301.425171,-252.43869,1419.53455,312.678436,-254.6315,1368.4054,327.857025,-258.535461,1162.08936,320.123383,-255.049942,971.9841,311.294373,-259.31073,1064.12573,302.321564,-259.26355,1110.24524,313.058
556608,0.1,1,-0.15,-4.36,3.46,-0.63,-0.03,1,0.08,-0.68,-2.11,2.37,0.97,-0.06,-0.22,6.47,0.55,0.31,-256.6514,1316.9696,329.71936,-259.409119,1213.72961,326.779358,-259.823,1264.44629,330.482361,-252.588776,1419.51233,312.450958,-258.2784,1013.87659,301.221222,-254.705673,1368.40393,327.62616,-259.296234,1064.10913,302.103546,-255.131912,972.1443,310.8863,-259.334778,1110.22839,312.717255,-258.61203,1162.02734,319.6016
556619,0.1,0.99,-0.13,-5.09,4.26,-1.35,-0.03,1,0.1,-1.31,-0.84,2.17,0.97,-0.06,-0.22,6.47,0.55,0.31,-259.8485,1264.46155,330.219421,-259.401459,1213.69409,326.5267,-256.667328,1316.95068,329.513062,-252.609192,1419.54626,312.131836,-258.199036,1013.8559,301.055023,-254.876923,1368.428,327.3016,-254.934708,972.041138,310.9257,-259.184937,1064.10034,301.93515,-259.282166,1110.19983,312.498535,-258.526581,1161.99243,319.308
556628,0.1,1,-0.14,-4.09,5.39,-1.65,-0.03,1.01,0.09,-2.15,0.83,2.08,0.97,-0.06,-0.21,5.86,0.18,0.12,-259.860321,1264.48181,329.9999,-259.3725,1213.70557,326.301727,-256.652985,1317.025,329.285248,-258.106659,1013.85413,300.915619,-252.749634,1419.51416,311.8486,-254.902252,1368.45959,327.037323,-254.859833,972.0874,310.8053,-259.097351,1064.15588,301.835419,-259.282959,1110.17053,312.197052,-258.6029,1162.05591,319.021118
