Elapsed Millisecond,IMU 1 - Acceleration X,IMU 1 - Acceleration Y,IMU 1 - Acceleration Z,IMU 1 - AngularVelocity X,IMU 1 - AngularVelocity Y,IMU 1 - AngularVelocity Z,IMU 2 - Acceleration X,IMU 2 - Acceleration Y,IMU 2 - Acceleration Z,IMU 2 - AngularVelocity X,IMU 2 - AngularVelocity Y,IMU 2 - AngularVelocity Z,IMU 3 - Acceleration X,IMU 3 - Acceleration Y,IMU 3 - Acceleration Z,IMU 3 - AngularVelocity X,IMU 3 - AngularVelocity Y,IMU 3 - AngularVelocity Z,Marker 1 - X,Marker 1 - Y,Marker 1 - Z,Marker 2 - X,Marker 2 - Y,Marker 2 - Z,Marker 3 - X,Marker 3 - Y,Marker 3 - Z,Marker 4 - X,Marker 4 - Y,Marker 4 - Z,Marker 5 - X,Marker 5 - Y,Marker 5 - Z,Marker 6 - X,Marker 6 - Y,Marker 6 - Z,Marker 7 - X,Marker 7 - Y,Marker 7 - Z,Marker 8 - X,Marker 8 - Y,Marker 8 - Z,Marker 9 - X,Marker 9 - Y,Marker 9 - Z,Marker 10 - X,Marker 10 - Y,Marker 10 - Z
2094924,-0.26,0.17,0.94,-1.1,5.43,4.15,-0.14,-0.12,0.94,6.42,-0.64,10.8,0.26,0.07,0.94,-0.37,4.46,3.05,-245.6159,1022.71808,300.3948,-165.568649,1039.78674,243.313065,-121.510384,1042.206,216.038467,-78.85233,1048.331,189.6941,-34.4867134,1049.97449,161.112167,-203.735031,1024.09875,269.469757,-283.124664,1012.49115,328.9083,10.92387,1045.32813,136.520355,55.0206871,1042.43164,111.612572,98.72084,1027.085,84.09816
2094934,-0.26,0.17,0.94,-1.59,4.33,4.4,-0.14,-0.12,0.93,7.09,-3.9,9.87,0.26,0.08,0.94,0.06,3.91,3.3,-245.612961,1022.71722,300.593353,-165.6193,1039.84521,243.422546,-121.683784,1042.34229,216.028732,-78.9758148,1048.45117,189.708862,-34.71032,1050.14844,161.005859,-203.742279,1024.11133,269.58844,-283.0986,1012.48883,329.095032,10.7312956,1045.57263,136.360535,54.7435265,1042.69849,111.405167,98.38511,1027.50146,83.7128754
2094944,-0.27,0.17,0.95,-2.03,3.47,4.62,-0.14,-0.11,0.94,7.09,-6.29,9,0.27,0.08,0.95,0.73,3.42,3.6,-245.663239,1022.72192,300.733856,-165.703766,1039.89526,243.492432,-121.845116,1042.39893,216.08168,-79.12624,1048.60132,189.69696,-34.9493866,1050.28174,160.91153,-203.8461,1024.13879,269.680267,10.4072714,1045.784,136.233292,54.5834274,1042.97913,111.241455,-282.80423,1012.51727,329.52832,98.0567856,1027.92017,83.3884354
2094954,-0.26,0.18,0.95,-2.52,2.95,4.68,-0.14,-0.1,0.95,5.55,-8.3,8.1,0.27,0.09,0.95,1.53,3.11,3.78,-245.689316,1022.71075,300.916931,-165.812683,1039.90613,243.566483,-121.987846,1042.47083,216.06102,-79.29099,1048.65894,189.624786,-35.18538,1050.40771,160.805511,-203.9586,1024.13147,269.803345,10.1521616,1045.95459,136.02861,-282.872681,1012.44958,329.706665,54.0895653,1043.15784,110.746956,97.774025,1028.28223,83.07829
2094964,-0.26,0.18,0.95,-3.04,2.23,4.62,-0.13,-0.1,0.96,5.13,-7.98,8.06,0.28,0.08,0.95,1.89,2.93,3.85,-245.745453,1022.67181,301.040619,-165.922089,1039.9137,243.6019,-122.158447,1042.477,216.0623,-35.414753,1050.53638,160.640778,-79.55378,1048.653,189.5371,-204.049927,1024.17041,269.832733,9.900387,1046.087,135.823059,-282.8648,1012.39795,329.867584,53.79058,1043.35925,110.506996,97.41576,1028.59839,82.6925
2094974,-0.24,0.18,0.95,-3.24,2.17,4.73,-0.11,-0.1,0.95,4.33,-7.38,7.59,0.28,0.06,0.96,2.2,2.81,4.03,-245.83847,1022.67358,301.1187,-166.056076,1039.91138,243.606812,-122.341,1042.52979,216.006561,-79.7249,1048.74231,189.417,-35.6688,1050.63342,160.460678,-204.095612,1024.1604,269.941376,-282.901764,1012.36707,329.9998,9.602479,1046.27234,135.523544,53.663,1043.74731,110.349854,97.03108,1028.9126,82.24056
2094984,-0.23,0.17,0.96,-3.73,1.82,4.44,-0.08,-0.11,0.96,4.11,-5.87,7.32,0.27,0.05,0.96,2.32,2.75,3.97,-245.919434,1022.67035,301.183044,-166.2042,1039.90076,243.546844,-35.9647141,1050.72168,160.20993,-79.99467,1048.83557,189.19487,-122.514893,1042.5769,215.899384,-204.197922,1024.18311,269.944946,9.286097,1046.42493,135.251953,-282.9338,1012.36481,330.036041,53.3847046,1043.9397,110.027328,96.723114,1029.14587,81.85444
2094994,-0.22,0.17,0.95,-3.54,2.01,4.26,-0.07,-0.11,0.96,3.65,-4.43,6.76,0.27,0.03,0.96,2.75,2.87,3.85,-245.967056,1022.68182,301.238647,-166.291443,1039.933,243.50676,-36.2623,1050.891,159.9563,-122.678368,1042.59644,215.892426,-80.24878,1048.90039,189.026627,-204.292633,1024.22192,269.9256,9.0291,1046.54578,135.005341,52.89364,1044.00232,109.500008,-283.012543,1012.40784,330.027771,96.31563,1029.40625,81.38522
2095004,-0.22,0.17,0.96,-3.6,2.56,3.8,-0.07,-0.11,0.96,3.69,-3.35,6.65,0.26,0.02,0.96,3.11,2.87,3.48,-246.045258,1022.67676,301.2651,-166.4427,1039.9762,243.447281,-36.45102,1051.00085,159.756668,-80.43864,1048.99829,188.8857,-122.790512,1042.65417,215.76622,-204.417328,1024.20911,269.920715,8.715661,1046.77783,134.616226,52.7593727,1044.41858,109.295906,-283.056244,1012.44714,330.0711,95.92907,1029.685,80.9467
2095014,-0.22,0.17,0.96,-3.3,2.9,3.56,-0.08,-0.1,0.96,3.19,-1.55,6.1,0.27,0.02,0.96,2.93,2.69,3.17,-246.091736,1022.68719,301.3025,-36.66454,1051.0957,159.6026,-166.561386,1040.004,243.429062,-122.96978,1042.67053,215.644211,-80.6641541,1049.04675,188.697968,8.489814,1046.90662,134.3942,-283.061157,1012.36743,330.2103,52.45381,1044.62854,109.016853,-204.776566,1024.28833,269.603058,95.61889,1029.94348,80.56384
