Elapsed Millisecond,IMU 1 - Acceleration X,IMU 1 - Acceleration Y,IMU 1 - Acceleration Z,IMU 1 - AngularVelocity X,IMU 1 - AngularVelocity Y,IMU 1 - AngularVelocity Z,IMU 2 - Acceleration X,IMU 2 - Acceleration Y,IMU 2 - Acceleration Z,IMU 2 - AngularVelocity X,IMU 2 - AngularVelocity Y,IMU 2 - AngularVelocity Z,IMU 3 - Acceleration X,IMU 3 - Acceleration Y,IMU 3 - Acceleration Z,IMU 3 - AngularVelocity X,IMU 3 - AngularVelocity Y,IMU 3 - AngularVelocity Z,Marker 1 - X,Marker 1 - Y,Marker 1 - Z,Marker 2 - X,Marker 2 - Y,Marker 2 - Z,Marker 3 - X,Marker 3 - Y,Marker 3 - Z,Marker 4 - X,Marker 4 - Y,Marker 4 - Z,Marker 5 - X,Marker 5 - Y,Marker 5 - Z,Marker 6 - X,Marker 6 - Y,Marker 6 - Z,Marker 7 - X,Marker 7 - Y,Marker 7 - Z,Marker 8 - X,Marker 8 - Y,Marker 8 - Z,Marker 9 - X,Marker 9 - Y,Marker 9 - Z,Marker 10 - X,Marker 10 - Y,Marker 10 - Z
5053108,0.12,0.92,-0.42,-2.75,2.55,-2.43,-0.09,0.99,0.14,0.05,0.38,-0.71,0.88,-0.01,-0.46,4.39,3.3,-2.93,-225.358414,1202.16064,284.920868,-225.886627,1151.87988,284.531158,-220.683884,1255.30884,284.307343,-241.68988,955.1905,250.849609,-217.712967,1305.84033,277.63205,-217.887085,1353.56946,256.322632,-226.814117,1099.71033,276.249176,-236.814316,925.9137,260.7452,-235.487656,1016.491,249.737167,-231.243561,1046.5,258.102661
5053118,0.13,0.92,-0.42,-2.55,2.66,-2.45,-0.08,0.99,0.14,0.29,0.21,-0.08,0.88,-0.01,-0.46,4.15,3.48,-2.93,-225.321976,1202.12476,284.9484,-225.833237,1151.83472,284.539032,-220.693176,1255.2749,284.3454,-241.636673,955.1812,250.868851,-217.8453,1353.524,256.3616,-217.6593,1305.81641,277.628448,-226.835358,1099.65784,276.192841,-236.750076,925.9022,260.736328,-235.400116,1016.47968,249.724274,-231.2357,1046.44714,258.081421
5053128,0.12,0.92,-0.42,-2.47,2.56,-2.22,-0.08,0.99,0.14,0.22,0.29,-0.43,0.88,-0.01,-0.46,3.91,3.6,-2.87,-225.294159,1202.04834,284.962921,-225.805267,1151.76367,284.582336,-220.5967,1255.22937,284.373657,-217.750916,1353.44434,256.388367,-241.686264,955.104858,250.811432,-217.628738,1305.72754,277.648926,-226.887909,1099.59644,276.1555,-236.825134,925.868347,260.732849,-235.367783,1016.39471,249.725479,-231.217117,1046.41345,258.041
5053139,0.12,0.92,-0.41,-2.54,2.19,-2.08,-0.08,0.99,0.14,0.52,0.63,-0.48,0.89,-0.01,-0.46,3.91,3.78,-2.87,-225.29248,1202.00342,284.973236,-225.745392,1151.72791,284.591522,-220.62471,1255.20093,284.380371,-217.626724,1305.681,277.6937,-241.653091,955.071533,250.796478,-217.763077,1353.39661,256.4321,-226.804535,1099.56641,276.210876,-236.820084,925.909363,260.6832,-235.523087,1016.65021,249.138855,-231.203949,1046.37292,258.0626
5053149,0.12,0.93,-0.42,-2.51,2.2,-1.98,-0.07,1,0.14,0.54,0.92,-0.27,0.89,-0.01,-0.46,4.15,3.85,-2.87,-225.254349,1201.95679,285.00415,-225.761658,1151.63623,284.588257,-220.645828,1255.13,284.3742,-217.742508,1353.33032,256.476685,-241.662369,955.0526,250.791855,-217.595886,1305.63611,277.711823,-226.715057,1099.53516,276.1922,-236.8353,925.792847,260.660919,-235.448746,1016.44629,249.496445,-231.146881,1046.35522,258.0267
5053159,0.12,0.92,-0.41,-2.43,2.39,-2.14,-0.07,0.99,0.14,0.51,1.11,-0.5,0.89,-0.01,-0.46,4.21,3.91,-2.99,-225.208038,1201.92163,285.029449,-225.7083,1151.6261,284.5581,-220.52774,1255.085,284.3858,-217.663437,1353.32227,256.5042,-217.610443,1305.5437,277.7539,-241.6377,955.0174,250.7612,-236.7412,925.731445,260.7076,-226.815674,1099.48914,276.155029,-235.491226,1016.40021,249.456421,-231.156158,1046.27112,257.98877
5053170,0.12,0.92,-0.41,-2.35,2.3,-2.45,-0.09,0.99,0.13,0.53,1.26,0.01,0.88,-0.01,-0.46,4.21,3.91,-2.99,-225.204956,1201.886,285.001953,-225.694839,1151.5896,284.567352,-220.561569,1255.04492,284.4231,-241.639359,955.029541,250.690628,-217.514816,1305.57727,277.796051,-217.701645,1353.30408,256.544922,-226.686127,1099.418,276.176849,-236.7835,925.73114,260.651947,-235.4615,1016.50439,249.467545,-231.120636,1046.20654,258.031158
5053180,0.12,0.93,-0.41,-2.59,2.2,-2.34,-0.09,1,0.13,0.66,1.27,-0.19,0.89,-0.01,-0.46,4.15,3.97,-3.11,-225.175568,1201.8728,284.997772,-225.6481,1151.58142,284.5715,-220.446686,1255.04883,284.4691,-217.5591,1305.52539,277.775421,-217.667282,1353.26416,256.532318,-241.604431,955.030762,250.642776,-236.721054,925.765564,260.62912,-226.76091,1099.42932,276.138947,-235.36,1016.42633,249.5105,-231.1057,1046.20776,258.0232
5053191,0.12,0.94,-0.41,-2.73,2.49,-2.33,-0.09,1.01,0.13,0.39,0.98,0.03,0.9,0,-0.46,3.91,3.85,-2.99,-225.105164,1201.89026,285.021271,-225.633072,1151.532,284.563171,-220.416824,1255.02576,284.450928,-217.582245,1353.26477,256.632263,-241.586914,955.0481,250.5867,-217.446243,1305.53284,277.786774,-226.754074,1099.43689,276.133179,-236.79631,925.8068,260.515,-235.323944,1016.40308,249.46727,-231.083832,1046.22144,257.889648
5053201,0.12,0.94,-0.42,-2.99,2.68,-2.22,-0.08,1.01,0.13,0.01,0.92,0.08,0.9,0,-0.46,3.91,3.85,-2.99,-225.074341,1201.85278,284.995,-225.629059,1151.48962,284.550049,-220.404633,1254.99609,284.391541,-217.45224,1305.5072,277.817657,-217.592926,1353.25281,256.6268,-241.5685,955.0531,250.541641,-226.707657,1099.395,276.116852,-236.7268,925.794,260.545715,-235.277863,1016.50146,249.479477,-231.07019,1046.156,257.8763
5053211,0.12,0.93,-0.41,-3.29,2.53,-2.49,-0.08,1,0.14,-0.13,1.03,-0.02,0.89,0,-0.46,3.78,3.11,-2.81,-225.097931,1201.83521,284.961121,-225.539932,1151.53845,284.5739,-220.400513,1254.94385,284.4033,-217.609116,1353.243,256.625854,-217.440216,1305.50342,277.8401,-241.615768,955.0574,250.516312,-236.64357,925.805847,260.5609,-226.676,1099.402,276.132,-235.333618,1016.57159,249.482391,-231.059311,1046.25562,257.829956
5053221,0.12,0.93,-0.42,-3.65,2.49,-2.26,-0.07,0.99,0.13,-0.19,1.43,-0.64,0.89,0,-0.46,4.03,3.05,-2.62,-225.0707,1201.81506,284.9709,-225.59642,1151.469,284.506378,-220.400589,1254.9093,284.410461,-217.609711,1353.21472,256.627075,-217.387314,1305.47473,277.802765,-241.571884,955.037537,250.476868,-226.664017,1099.34546,276.0354,-236.662247,925.7747,260.491821,-235.37796,1016.60864,249.457169,-231.096054,1046.144,257.7615
