Elapsed Millisecond,IMU 1 - Acceleration X,IMU 1 - Acceleration Y,IMU 1 - Acceleration Z,IMU 1 - AngularVelocity X,IMU 1 - AngularVelocity Y,IMU 1 - AngularVelocity Z,IMU 2 - Acceleration X,IMU 2 - Acceleration Y,IMU 2 - Acceleration Z,IMU 2 - AngularVelocity X,IMU 2 - AngularVelocity Y,IMU 2 - AngularVelocity Z,IMU 3 - Acceleration X,IMU 3 - Acceleration Y,IMU 3 - Acceleration Z,IMU 3 - AngularVelocity X,IMU 3 - AngularVelocity Y,IMU 3 - AngularVelocity Z,Marker 1 - X,Marker 1 - Y,Marker 1 - Z,Marker 2 - X,Marker 2 - Y,Marker 2 - Z,Marker 3 - X,Marker 3 - Y,Marker 3 - Z,Marker 4 - X,Marker 4 - Y,Marker 4 - Z,Marker 5 - X,Marker 5 - Y,Marker 5 - Z,Marker 6 - X,Marker 6 - Y,Marker 6 - Z,Marker 7 - X,Marker 7 - Y,Marker 7 - Z,Marker 8 - X,Marker 8 - Y,Marker 8 - Z,Marker 9 - X,Marker 9 - Y,Marker 9 - Z,Marker 10 - X,Marker 10 - Y,Marker 10 - Z
2982385,-0.05,0.95,0.31,-1.95,2.06,-1.7,-0.05,1,0.16,0.15,1.01,-0.52,0.98,-0.06,-0.22,4.39,3.3,-3.17,-232.850159,1217.59937,292.1667,-232.767349,1165.38757,287.17572,-230.471832,1269.89441,287.208252,-234.169708,992.916138,301.3582,-228.808212,1370.8772,261.7681,-229.138931,1320.92456,280.913177,-233.761551,947.9772,311.6252,-233.918839,1116.15576,278.7817,-234.1082,1066.59424,280.433319,-233.472519,1037.70044,265.989563
2982396,-0.05,0.96,0.31,-1.58,2.06,-1.77,-0.05,1,0.16,0.21,0.72,-0.62,0.98,-0.06,-0.22,4.58,2.99,-3.17,-232.81868,1217.574,292.247955,-230.465378,1269.89832,287.2607,-232.742783,1165.31775,287.257324,-234.184708,992.904236,301.4061,-228.836929,1370.84021,261.858551,-229.071869,1320.89087,281.0185,-233.811722,947.9453,311.632355,-233.869446,1116.1355,278.886078,-234.180481,1066.60278,280.515045,-233.46347,1037.7793,266.0459
2982406,-0.05,0.96,0.31,-1.92,1.9,-1.68,-0.06,1,0.17,0.22,0.45,-0.79,0.98,-0.06,-0.22,4.76,2.75,-3.17,-232.81868,1217.574,292.247955,-230.465378,1269.89832,287.2607,-232.742783,1165.31775,287.257324,-234.184708,992.904236,301.4061,-228.836929,1370.84021,261.858551,-229.071869,1320.89087,281.0185,-233.811722,947.9453,311.632355,-233.869446,1116.1355,278.886078,-234.180481,1066.60278,280.515045,-233.46347,1037.7793,266.0459
2982416,-0.05,0.96,0.31,-1.95,2.13,-1.85,-0.05,1,0.16,-0.02,0.01,-0.73,0.98,-0.06,-0.23,4.94,2.44,-2.99,-232.849976,1217.538,292.414856,-232.8292,1165.325,287.416016,-230.471313,1269.81287,287.430145,-234.194916,992.8631,301.518738,-229.1304,1320.85217,281.1838,-228.758972,1370.8064,262.093719,-233.874237,947.9399,311.7008,-233.895721,1116.03967,279.077118,-234.175125,1066.56848,280.644318,-233.453339,1037.6908,266.152832
2982426,-0.05,0.96,0.31,-2.45,2.02,-2.03,-0.06,1,0.16,0.12,-0.35,-0.56,0.98,-0.06,-0.23,4.94,2.44,-2.93,-232.876022,1217.5116,292.469757,-232.797058,1165.24963,287.5047,-230.522644,1269.84338,287.5106,-228.82132,1370.75635,262.23877,-234.225662,992.8619,301.557648,-229.159882,1320.85986,281.271149,-233.8987,947.9046,311.751068,-233.8913,1116.06665,279.086578,-234.237427,1066.58533,280.7417,-233.50592,1037.63879,266.160034
2982436,-0.05,0.96,0.31,-2.85,2.09,-2.24,-0.06,0.99,0.17,0.41,-0.65,-0.54,0.97,-0.05,-0.23,4.94,2.44,-2.93,-232.87294,1217.50818,292.552277,-230.5172,1269.76355,287.59494,-232.794525,1165.26318,287.562622,-234.239578,992.8277,301.537659,-228.83461,1370.77832,262.313934,-229.196228,1320.8678,281.3712,-233.891968,947.9,311.749573,-233.985229,1116.05127,279.129883,-234.546524,1066.979,280.823517,-233.5543,1037.60034,266.2028
2982445,-0.05,0.96,0.31,-3.07,2.11,-1.97,-0.05,0.99,0.17,0.51,-0.61,-0.39,0.97,-0.06,-0.22,4.82,2.75,-2.69,-232.816284,1217.48279,292.629425,-230.548859,1269.71191,287.642548,-232.7937,1165.21973,287.628967,-234.23407,992.801147,301.5893,-233.936661,947.8559,311.774078,-228.761841,1370.74646,262.436646,-229.191727,1320.80774,281.470764,-233.914963,1116.01538,279.200531,-234.546921,1066.98376,280.845734,-233.470078,1037.605,266.255035
2982455,-0.05,0.95,0.31,-2.95,1.92,-1.94,-0.05,0.99,0.16,1.07,-0.98,-0.14,0.97,-0.06,-0.22,4.82,2.75,-2.62,-232.865692,1217.42554,292.688354,-230.50621,1269.66,287.7463,-232.780533,1165.19067,287.7128,-234.288132,992.7887,301.62674,-228.805527,1370.73108,262.516449,-229.159622,1320.80627,281.588776,-233.948578,947.861145,311.770721,-233.883362,1115.9386,279.279877,-234.563385,1066.95715,280.863159,-233.54567,1037.53992,266.278381
2982466,-0.05,0.95,0.31,-2.86,2.01,-1.93,-0.05,1,0.16,1.31,-1.31,-0.49,0.98,-0.06,-0.22,4.58,2.93,-2.62,-232.87793,1217.44226,292.792938,-230.537384,1269.71924,287.842,-232.8409,1165.14392,287.8003,-234.272278,992.7518,301.667847,-229.172028,1320.80518,281.6733,-228.82872,1370.70215,262.626678,-233.95459,947.8043,311.8241,-233.968109,1115.9906,279.3046,-234.605377,1066.9967,280.933228,-233.538818,1037.51746,266.3253
2982476,-0.05,0.96,0.31,-2.7,2.01,-1.97,-0.05,0.99,0.16,1.1,-1.5,-0.25,0.98,-0.06,-0.22,4.7,2.93,-2.69,-232.88916,1217.402,292.8559,-230.559708,1269.71143,287.938721,-232.862747,1165.1637,287.8605,-234.277481,992.7658,301.696228,-229.212585,1320.80176,281.777466,-234.020584,947.7872,311.8616,-228.8273,1370.70447,262.75293,-233.9174,1115.92419,279.398865,-234.621841,1066.94458,280.937531,-233.5536,1037.5575,266.381744
2982486,-0.05,0.95,0.31,-2.79,2.01,-1.85,-0.05,1,0.16,0.88,-1.67,-0.57,0.98,-0.06,-0.22,4.58,2.93,-2.62,-232.890472,1217.38135,292.95163,-230.538864,1269.71094,287.996277,-232.831345,1165.134,287.914246,-234.287308,992.764343,301.7267,-229.184219,1320.79871,281.915649,-228.795578,1370.69788,262.875519,-233.957031,947.795,311.8855,-233.936829,1115.94934,279.437164,-234.63382,1066.92773,280.997223,-233.53537,1037.55554,266.400055
2982497,-0.05,0.96,0.31,-2.43,2.18,-1.98,-0.05,1,0.15,0.87,-1.4,-0.46,0.98,-0.06,-0.22,4.27,2.69,-2.56,-232.959976,1217.35889,293.024933,-230.606766,1269.69763,288.1282,-232.9164,1165.15027,287.998749,-234.274826,992.7588,301.753937,-229.2593,1320.78906,282.026123,-228.786972,1370.70837,262.983063,-234.00293,947.8064,311.943756,-233.990875,1115.94836,279.510925,-234.6425,1066.92981,281.0412,-233.531082,1037.51892,266.4103
2982506,-0.05,0.96,0.32,-2.64,2.34,-2.15,-0.05,0.99,0.16,0.89,-1.59,-0.56,0.97,-0.06,-0.22,3.97,2.69,-2.69,-232.951263,1217.38245,293.138733,-232.918976,1165.11865,288.090546,-230.58136,1269.7301,288.2178,-234.294342,992.724854,301.830231,-228.8684,1370.68542,263.10614,-229.229172,1320.76282,282.164642,-233.989914,947.7543,311.9517,-233.968719,1115.95313,279.545258,-234.671738,1066.8938,281.10614,-233.537079,1037.57275,266.5187
2982516,-0.05,0.96,0.31,-2.74,2.35,-2.11,-0.05,0.99,0.16,0.7,-1.49,-0.79,0.97,-0.06,-0.22,3.66,2.69,-2.62,-232.938919,1217.33276,293.207947,-232.942642,1165.06848,288.178131,-230.653519,1269.67969,288.344574,-234.365616,992.721069,301.851318,-228.862625,1370.65332,263.249878,-229.304367,1320.75659,282.240234,-234.077972,947.720337,311.9566,-233.963562,1115.898,279.6537,-234.685059,1066.942,281.159851,-233.563263,1037.52136,266.553223
2982527,-0.05,0.96,0.31,-3.23,2.47,-2.08,-0.05,0.99,0.16,0.58,-1.68,-0.38,0.97,-0.06,-0.22,3.66,2.87,-2.69,-232.950638,1165.06592,288.224243,-232.977753,1217.29846,293.296783,-230.73172,1269.6228,288.398071,-234.35643,992.6955,301.891632,-229.301743,1320.68225,282.381042,-234.048843,947.7601,312.057526,-228.91124,1370.64746,263.386871,-233.967865,1115.842,279.715942,-234.667038,1066.85217,281.147,-233.546234,1037.44763,266.647217
2982536,-0.05,0.96,0.31,-3.29,2.35,-2.13,-0.05,1,0.16,0.56,-1.43,-1.14,0.97,-0.06,-0.22,3.6,2.87,-2.75,-232.9541,1165.01343,288.315063,-233.043518,1217.27063,293.3578,-230.66922,1269.63354,288.536774,-234.371475,992.694,301.928558,-228.932587,1370.64526,263.496735,-234.054581,947.760864,312.095734,-229.33699,1320.67114,282.53064,-233.989914,1115.8075,279.812653,-234.724808,1066.858,281.210876,-233.598618,1037.42249,266.693542
2982547,-0.06,0.95,0.31,-3.27,2.37,-2.27,-0.05,1,0.15,0.49,-1.61,-0.73,0.97,-0.06,-0.22,3.42,2.69,-2.93,-232.9903,1164.99036,288.361328,-233.059784,1217.25537,293.443054,-230.697678,1269.62659,288.5795,-234.3768,992.696655,301.977722,-234.070587,947.7455,312.169464,-228.978516,1370.60535,263.589142,-229.3389,1320.62256,282.602936,-233.982,1115.81409,279.8932,-234.706268,1066.79736,281.28476,-233.614716,1037.49133,266.708954
2982556,-0.05,0.95,0.31,-3.35,2.3,-2.3,-0.05,1,0.15,0.47,-1.14,-0.89,0.98,-0.06,-0.22,3.54,2.38,-3.11,-232.979309,1164.99365,288.4335,-233.065979,1217.236,293.5291,-230.7359,1269.59949,288.69455,-234.324982,992.7126,302.0817,-228.98822,1370.56531,263.746246,-229.323792,1320.61633,282.714,-234.039215,947.7858,312.234161,-233.9676,1115.78992,279.9834,-234.741913,1066.85925,281.326874,-233.5724,1037.43286,266.8052
2982567,-0.05,0.95,0.31,-2.94,1.92,-2.2,-0.06,1,0.15,0.29,-0.95,-0.66,0.97,-0.06,-0.22,3.54,2.14,-3.11,-233.028687,1164.961,288.507629,-233.045029,1217.24683,293.585815,-230.728821,1269.56775,288.792725,-228.9074,1370.66,263.82373,-234.361359,992.721252,302.13092,-234.099319,947.7758,312.255341,-229.350616,1320.59546,282.831818,-233.948929,1115.78528,280.053345,-234.7546,1066.85022,281.3709,-233.601349,1037.45386,266.936249
2982578,-0.05,0.95,0.32,-2.53,1.76,-1.99,-0.05,1,0.15,0.2,-0.42,-0.64,0.98,-0.06,-0.22,3.66,2.01,-3.05,-232.995117,1164.97632,288.585052,-233.040741,1217.2511,293.674,-230.716309,1269.613,288.854828,-234.411041,992.7264,302.198517,-229.299271,1320.64868,282.862823,-228.95459,1370.61511,263.935455,-234.144165,947.7606,312.287445,-234.737976,1066.88013,281.488281,-233.923065,1115.673,280.066864,-233.624863,1037.47192,266.8986
