Elapsed Millisecond,IMU 1 - Acceleration X,IMU 1 - Acceleration Y,IMU 1 - Acceleration Z,IMU 1 - AngularVelocity X,IMU 1 - AngularVelocity Y,IMU 1 - AngularVelocity Z,IMU 2 - Acceleration X,IMU 2 - Acceleration Y,IMU 2 - Acceleration Z,IMU 2 - AngularVelocity X,IMU 2 - AngularVelocity Y,IMU 2 - AngularVelocity Z,IMU 3 - Acceleration X,IMU 3 - Acceleration Y,IMU 3 - Acceleration Z,IMU 3 - AngularVelocity X,IMU 3 - AngularVelocity Y,IMU 3 - AngularVelocity Z,Marker 1 - X,Marker 1 - Y,Marker 1 - Z,Marker 2 - X,Marker 2 - Y,Marker 2 - Z,Marker 3 - X,Marker 3 - Y,Marker 3 - Z,Marker 4 - X,Marker 4 - Y,Marker 4 - Z,Marker 5 - X,Marker 5 - Y,Marker 5 - Z,Marker 6 - X,Marker 6 - Y,Marker 6 - Z,Marker 7 - X,Marker 7 - Y,Marker 7 - Z,Marker 8 - X,Marker 8 - Y,Marker 8 - Z,Marker 9 - X,Marker 9 - Y,Marker 9 - Z,Marker 10 - X,Marker 10 - Y,Marker 10 - Z
3541982,0.03,1.01,0.1,-1.64,1.88,-2.2,-0.1,0.99,0.17,0.34,-0.31,-1.43,0.94,0,-0.36,4.15,2.62,-2.99,-245.576843,1144.15356,348.637573,-248.164825,1091.941,344.2308,-251.57785,904.829041,318.0475,-234.373779,1247.34265,338.593079,-239.530487,1196.77173,345.1995,-253.202576,993.539368,319.150757,-230.096176,1297.03015,318.0741,-247.628464,859.706055,330.584839,-252.553268,953.295,300.308533,-249.848587,1041.9834,328.22934
3541993,0.03,1.01,0.11,-1.97,2.08,-2.37,-0.1,0.99,0.17,0.27,0.07,-1.4,0.94,0,-0.36,4.15,2.62,-2.99,-245.589859,1144.15833,348.799133,-248.235809,1091.94775,344.362335,-234.375824,1247.33386,338.780853,-251.555267,904.8545,318.189819,-253.212112,993.562561,319.348816,-239.582932,1196.80566,345.379761,-230.096664,1297.01782,318.2711,-247.640167,859.651733,330.723969,-252.612686,953.2531,300.3764,-249.811371,1041.92163,327.955627
3542002,0.03,1.01,0.1,-1.9,1.91,-2.56,-0.11,0.99,0.16,0.05,0.35,-1.61,0.94,0,-0.36,4.15,2.81,-3.11,-245.589478,1144.123,348.952637,-248.147186,1091.9906,344.605042,-253.174316,993.5711,319.4838,-234.38591,1247.311,338.965027,-251.558929,904.8061,318.339325,-239.554962,1196.76758,345.5651,-247.723785,859.607361,330.846161,-230.0281,1297.00537,318.440582,-252.579453,953.3245,300.584351,-249.896286,1041.94458,328.0926
3542012,0.03,1.01,0.1,-2.11,1.97,-2.51,-0.11,0.99,0.17,0.32,0.42,-1.3,0.93,0.01,-0.36,4.03,3.05,-3.36,-245.5705,1144.10156,349.099335,-248.129929,1091.9386,344.748169,-234.353363,1247.29773,339.130432,-253.112045,993.6038,319.6477,-239.5572,1196.7594,345.7115,-251.575073,904.7885,318.458862,-247.632462,859.6288,330.971283,-229.982788,1296.95142,318.676666,-252.588425,953.2937,300.7457,-249.955353,1041.90808,328.229553
3542022,0.03,1,0.1,-2.4,1.62,-2.58,-0.12,0.98,0.17,0.32,0.56,-1.78,0.93,0.01,-0.36,4.03,3.05,-3.36,-245.577667,1144.10767,349.271545,-248.153915,1091.91858,344.9198,-253.18129,993.497864,319.760345,-251.615585,904.765259,318.596283,-239.486771,1196.71606,345.881775,-234.281982,1247.28357,339.3183,-247.715317,859.5844,331.0955,-229.934052,1296.945,318.870483,-252.653625,953.2602,300.850677,-249.890778,1041.869,328.288452
3542034,0.03,1,0.1,-2.61,1.45,-2.55,-0.12,0.98,0.16,0.43,0.61,-1.77,0.93,0.01,-0.35,4.52,3.3,-3.3,-245.675644,1144.11768,349.603973,-248.1894,1091.91077,345.2462,-239.567566,1196.71924,346.272339,-253.266327,993.569,320.0852,-251.734161,904.825134,318.9057,-234.314056,1247.28479,339.7073,-229.886185,1297.02222,319.277466,-247.7668,859.6325,331.4017,-250.052887,1042.01086,329.0469,-252.784134,953.5626,301.6845
3542044,0.03,1,0.1,-2.52,1.48,-2.24,-0.12,0.98,0.16,0.6,0.76,-1.82,0.93,0.01,-0.35,4.64,3.42,-3.17,-245.699371,1144.12708,349.796082,-248.189285,1091.94031,345.440338,-253.255264,993.602966,320.2221,-251.747467,904.834045,319.053864,-239.565536,1196.72241,346.465,-234.323456,1247.32227,339.839661,-229.866,1297.04077,319.501648,-247.828674,859.600464,331.634583,-252.720352,953.347961,301.393066,-250.032028,1042.03943,329.345978
3542053,0.03,1,0.1,-2.32,1.25,-2.34,-0.12,0.98,0.16,0.68,0.69,-1.66,0.93,0.01,-0.35,4.64,3.42,-3.17,-245.706451,1144.15222,349.962341,-253.342056,993.6137,320.436829,-248.218079,1091.96912,345.607727,-251.856583,904.8383,319.153442,-229.900391,1297.07556,319.689972,-239.531921,1196.733,346.693573,-234.277817,1247.302,340.084137,-247.973114,859.690735,331.6815,-252.814774,953.3397,301.555847,-250.031784,1041.88354,328.9343
3542064,0.03,1,0.1,-2.45,1.23,-2.11,-0.11,0.98,0.16,0.57,0.47,-1.85,0.93,0.01,-0.36,4.94,3.3,-3.23,-245.729553,1144.08984,350.152069,-248.2624,1091.95386,345.8005,-253.308563,993.673035,320.616455,-251.83934,904.8357,319.3186,-239.496887,1196.70325,346.957855,-229.832092,1297.014,319.9854,-234.326981,1247.27722,340.315247,-248.0179,859.655457,331.834167,-252.851547,953.334045,301.755066,-250.186691,1041.82373,329.644348
3542074,0.04,1,0.1,-2.13,1.4,-2.09,-0.12,0.99,0.16,0.48,0.5,-1.7,0.93,0.01,-0.36,4.94,3.23,-3.23,-245.729416,1144.07019,350.328,-248.238327,1091.87183,345.978149,-253.361389,993.564941,320.824951,-239.546448,1196.69507,347.074768,-234.293564,1247.2384,340.494232,-251.8541,904.8075,319.473846,-229.820816,1296.91931,320.175629,-248.039337,859.5691,331.940765,-252.818649,953.3034,301.949066,-250.104462,1041.89832,329.843262
