Elapsed Millisecond,IMU 1 - Acceleration X,IMU 1 - Acceleration Y,IMU 1 - Acceleration Z,IMU 1 - AngularVelocity X,IMU 1 - AngularVelocity Y,IMU 1 - AngularVelocity Z,IMU 2 - Acceleration X,IMU 2 - Acceleration Y,IMU 2 - Acceleration Z,IMU 2 - AngularVelocity X,IMU 2 - AngularVelocity Y,IMU 2 - AngularVelocity Z,IMU 3 - Acceleration X,IMU 3 - Acceleration Y,IMU 3 - Acceleration Z,IMU 3 - AngularVelocity X,IMU 3 - AngularVelocity Y,IMU 3 - AngularVelocity Z,Marker 1 - X,Marker 1 - Y,Marker 1 - Z,Marker 2 - X,Marker 2 - Y,Marker 2 - Z,Marker 3 - X,Marker 3 - Y,Marker 3 - Z,Marker 4 - X,Marker 4 - Y,Marker 4 - Z,Marker 5 - X,Marker 5 - Y,Marker 5 - Z,Marker 6 - X,Marker 6 - Y,Marker 6 - Z,Marker 7 - X,Marker 7 - Y,Marker 7 - Z,Marker 8 - X,Marker 8 - Y,Marker 8 - Z,Marker 9 - X,Marker 9 - Y,Marker 9 - Z,Marker 10 - X,Marker 10 - Y,Marker 10 - Z
465158,0.01,0.89,0.47,-6.26,-5.13,-3.59,-0.1,0.89,0.43,-1.63,-6.03,-1.27,0.99,0,-0.13,8.79,1.71,-0.12,-256.977173,1273.8407,299.878357,-262.828827,1028.9115,324.110046,-258.399353,1223.68457,306.2597,-253.441544,1324.92285,285.2479,-250.114319,1415.1731,232.75119,-250.639221,1372.79956,265.953644,-260.972382,1068.8584,306.4946,-258.070648,1170.47729,308.750977,-261.7172,983.3353,333.26886,-259.934174,1115.63782,307.125519
465168,0,0.89,0.47,-5.82,-5.47,-4.1,-0.09,0.9,0.42,-2.17,-5.4,-2.75,0.99,0,-0.13,9.83,2.26,-0.31,-257.141571,1273.819,299.8249,-262.914246,1028.89575,324.063171,-258.481781,1223.665,306.216278,-253.480209,1324.96143,285.206024,-250.2499,1415.08435,232.640686,-250.77977,1372.79028,265.8695,-258.1465,1170.43921,308.766022,-261.826,983.277,333.278351,-260.92926,1068.84839,306.497162,-260.00943,1115.59106,307.0592
465178,0.01,0.89,0.47,-5.44,-5.95,-4.43,-0.09,0.91,0.42,-2.26,-5.36,-2.86,0.99,0,-0.13,10.8,2.5,-0.43,-257.2142,1273.83435,299.789276,-263.017944,1028.9176,324.024078,-258.602,1223.69031,306.178558,-250.429443,1415.088,232.537018,-253.655426,1324.93042,285.146484,-250.958511,1372.77209,265.797363,-258.31427,1170.43591,308.698456,-261.10733,1068.95166,306.348633,-261.928345,983.320068,333.2313,-260.0899,1115.56409,307.0058
465188,0.02,0.89,0.47,-4.81,-6.25,-5.49,-0.09,0.9,0.42,-2.43,-5.37,-3.51,0.99,-0.01,-0.13,11.47,2.56,-0.73,-257.365356,1273.80725,299.782379,-263.187317,1028.92273,323.9639,-258.7235,1223.67078,306.152435,-253.740585,1324.91479,285.144257,-250.51181,1415.00916,232.467712,-251.00354,1372.74683,265.78183,-261.199829,1068.92627,306.311584,-261.957275,983.3183,333.237762,-258.466827,1170.39185,308.6516,-260.2225,1115.56592,306.9643
465199,0.02,0.89,0.47,-4.1,-6.24,-5.65,-0.09,0.9,0.42,-2.78,-5.56,-3.69,0.99,-0.02,-0.13,11.78,2.56,-1.16,-257.52,1273.7605,299.7764,-258.8672,1223.6311,306.157379,-263.32782,1028.89026,323.973328,-250.568924,1414.9491,232.323624,-251.134216,1372.74512,265.7522,-253.822174,1324.85425,285.120758,-258.649536,1170.42371,308.5939,-261.293945,1068.8728,306.29248,-262.243134,983.253052,333.19046,-260.269043,1115.59192,306.9942
465208,0.03,0.88,0.47,-2.92,-5.2,-6.14,-0.09,0.9,0.42,-2.85,-5.85,-3.43,0.99,-0.02,-0.13,11.47,2.5,-1.46,-257.580078,1273.77173,299.775482,-259.0499,1223.57983,306.123749,-263.465485,1028.8988,323.927338,-253.993683,1324.86511,285.0606,-251.171814,1372.70471,265.707642,-250.6344,1414.97144,232.28653,-261.502167,1068.84961,306.2632,-258.8127,1170.3844,308.54007,-262.39978,983.240051,333.146729,-260.472351,1115.5791,306.907837
465219,0.03,0.88,0.47,-2.82,-4.81,-6.01,-0.09,0.89,0.43,-2.88,-5.39,-3.15,0.99,-0.02,-0.13,11.11,2.32,-1.71,-257.710449,1273.77271,299.763763,-259.1712,1223.58264,306.154053,-263.640472,1028.8739,323.9303,-251.269623,1372.71313,265.647461,-254.073074,1324.85681,285.069733,-250.631226,1414.90576,232.25705,-261.709045,1068.8877,306.1806,-262.630127,983.2917,333.12677,-258.9223,1170.34424,308.5514,-260.6011,1115.62732,306.89682
465229,0.04,0.88,0.47,-2.69,-4.43,-5.99,-0.09,0.89,0.43,-2.7,-5.1,-3.44,0.99,-0.03,-0.13,10.25,2.01,-2.08,-257.8571,1273.8,299.754456,-259.246368,1223.60376,306.207916,-263.847443,1028.91541,323.920563,-251.426086,1372.70959,265.628479,-250.742935,1414.88965,232.165451,-254.150558,1324.87781,285.063232,-261.8766,1068.85681,306.169739,-259.092468,1170.34106,308.559174,-262.850952,983.360962,333.0841,-260.76712,1115.60449,306.930145
465239,0.05,0.88,0.48,-2.86,-3.81,-5.61,-0.09,0.89,0.43,-2.69,-4.89,-3.1,0.99,-0.03,-0.13,10.25,2.01,-2.08,-257.951782,1273.79089,299.783142,-259.440979,1223.61389,306.192017,-264.026123,1028.91541,323.872375,-251.439011,1372.6792,265.592865,-250.781036,1414.88672,232.126373,-262.062317,1068.87085,306.204,-259.231537,1170.37671,308.5625,-254.261322,1324.87769,285.05,-263.1607,983.314636,333.044922,-260.8621,1115.59338,307.016174
465249,0.04,0.88,0.47,-2.52,-3.44,-5.57,-0.08,0.9,0.43,-2.2,-4.54,-2.85,0.99,-0.03,-0.13,9.95,1.83,-2.08,-258.068268,1273.7771,299.783,-259.572,1223.59521,306.211273,-264.221527,1028.87988,323.9239,-251.555664,1372.64343,265.580872,-250.891022,1414.79785,232.084671,-254.386429,1324.95947,285.042145,-263.2275,983.3352,333.099731,-262.1314,1068.86841,306.263641,-259.2986,1170.41113,308.646545,-261.073761,1115.54041,306.9602
