Elapsed Millisecond,IMU 1 - Acceleration X,IMU 1 - Acceleration Y,IMU 1 - Acceleration Z,IMU 1 - AngularVelocity X,IMU 1 - AngularVelocity Y,IMU 1 - AngularVelocity Z,IMU 2 - Acceleration X,IMU 2 - Acceleration Y,IMU 2 - Acceleration Z,IMU 2 - AngularVelocity X,IMU 2 - AngularVelocity Y,IMU 2 - AngularVelocity Z,IMU 3 - Acceleration X,IMU 3 - Acceleration Y,IMU 3 - Acceleration Z,IMU 3 - AngularVelocity X,IMU 3 - AngularVelocity Y,IMU 3 - AngularVelocity Z,Marker 1 - X,Marker 1 - Y,Marker 1 - Z,Marker 2 - X,Marker 2 - Y,Marker 2 - Z,Marker 3 - X,Marker 3 - Y,Marker 3 - Z,Marker 4 - X,Marker 4 - Y,Marker 4 - Z,Marker 5 - X,Marker 5 - Y,Marker 5 - Z,Marker 6 - X,Marker 6 - Y,Marker 6 - Z,Marker 7 - X,Marker 7 - Y,Marker 7 - Z,Marker 8 - X,Marker 8 - Y,Marker 8 - Z,Marker 9 - X,Marker 9 - Y,Marker 9 - Z,Marker 10 - X,Marker 10 - Y,Marker 10 - Z
547129,0.01,0.83,0.57,-3.95,2.67,-1.85,-0.12,0.95,0.28,-3.77,0.95,-0.97,0.95,0.01,-0.29,3.11,-0.79,-2.99,-251.985077,1262.32666,337.926117,-254.6715,1211.65991,338.456329,-262.7194,1025.65186,331.131,-247.1318,1314.65039,329.884766,-240.8138,1410.82068,289.827057,-242.452591,1364.47449,317.360352,-255.5568,1158.83008,332.7905,-261.884735,976.9126,322.7898,-258.4019,1104.59436,321.395844,-259.580719,1059.28833,312.156647
547139,0.01,0.82,0.57,-4.24,2.88,-1.85,-0.12,0.95,0.28,-3.92,0.89,-0.85,0.95,0.01,-0.29,3.05,-0.61,-2.93,-251.926132,1262.391,337.713654,-254.616318,1211.73059,338.251923,-262.6894,1025.708,331.049469,-247.052933,1314.69043,329.673981,-240.759888,1410.87012,289.571655,-242.395584,1364.55347,317.101257,-255.591537,1158.89746,332.618866,-261.81897,976.8908,322.80072,-258.413452,1104.58069,321.2308,-259.660522,1059.36279,311.928833
547149,0.01,0.83,0.57,-4.14,2.66,-1.82,-0.11,0.95,0.28,-3.52,0.82,-0.81,0.95,0.01,-0.29,2.99,-0.55,-2.93,-251.888657,1262.43176,337.5259,-254.591385,1211.78186,338.074,-262.721527,1025.74426,330.9557,-247.027,1314.72412,329.436981,-240.73233,1410.936,289.265839,-242.375092,1364.533,316.83493,-261.75116,977.0085,322.54187,-259.383636,1059.05322,312.083466,-258.4136,1104.59656,321.12,-255.4661,1158.73,332.384521
547159,0.01,0.83,0.57,-4.26,2.59,-1.64,-0.11,0.95,0.29,-3.51,0.7,-0.84,0.95,0.01,-0.29,2.81,-0.67,-3.05,-251.869583,1262.51721,337.370636,-254.565384,1211.88367,337.9206,-262.709534,1025.77246,330.8933,-240.6865,1410.94043,289.017365,-246.999329,1314.81909,329.2141,-242.363113,1364.59485,316.578125,-261.801544,977.2383,322.68222,-255.474655,1158.861,332.123444,-258.3665,1104.6582,321.046661,-259.5854,1059.415,311.756317
547169,0.01,0.83,0.57,-4.39,2.72,-1.58,-0.11,0.96,0.28,-3.5,0.77,-1.09,0.95,0.01,-0.29,2.81,-0.67,-3.05,-251.83989,1262.58887,337.199768,-262.7389,1025.8512,330.747772,-254.574188,1211.9646,337.708984,-246.9318,1314.87048,329.056732,-240.682617,1410.96436,288.7681,-242.3786,1364.63477,316.353851,-261.7296,977.176331,322.366241,-255.4291,1158.89868,332.032227,-259.578,1059.53162,311.613556,-258.356659,1104.72852,320.8497
547179,0,0.83,0.57,-4.17,2.65,-1.49,-0.12,0.95,0.29,-3.23,0.43,-1.04,0.95,0.01,-0.29,2.69,-0.61,-3.11,-251.810837,1262.66638,337.025146,-254.548584,1212.08081,337.5137,-262.7394,1025.9126,330.650757,-240.71846,1411.06152,288.5101,-246.9237,1314.96045,328.7812,-242.36734,1364.69739,316.1258,-255.490845,1159.05835,331.734039,-261.692627,976.899,321.5321,-258.320465,1104.8219,320.6953,-259.576141,1059.58557,311.5271
547189,0.01,0.82,0.57,-4.16,2.49,-1.64,-0.12,0.95,0.28,-3.27,0.43,-1.14,0.95,0.01,-0.29,2.87,-0.49,-3.11,-251.809219,1262.7533,336.834656,-254.481171,1212.131,337.3345,-262.734375,1026.0033,330.5028,-240.651978,1411.07507,288.2254,-242.24501,1364.79211,315.907379,-246.8092,1315.0697,328.634735,-261.667358,977.2922,322.025238,-255.424759,1159.12244,331.563538,-259.519531,1059.57666,311.379333,-258.313751,1104.88232,320.611
547200,0.01,0.82,0.57,-3.72,2.5,-1.63,-0.12,0.95,0.28,-3.12,0.41,-1.04,0.95,0.01,-0.29,2.87,-0.49,-3.11,-251.753815,1262.815,336.620148,-254.457626,1212.21277,337.174377,-262.726044,1026.04285,330.413361,-240.6368,1411.10071,287.993469,-242.21907,1364.86621,315.700928,-246.776611,1315.12476,328.3711,-255.531891,1159.3208,331.4797,-259.359863,1059.392,311.4638,-261.536316,977.1109,321.3832,-258.257233,1104.958,320.522
547209,0.01,0.82,0.57,-3.56,2.48,-1.72,-0.12,0.95,0.28,-3.15,0.24,-1.24,0.96,0.01,-0.29,2.93,-0.31,-3.17,-254.410339,1212.31323,336.968842,-251.680191,1262.8822,336.4194,-262.728058,1026.10632,330.253265,-240.557037,1411.15051,287.732452,-242.141617,1364.95337,315.427521,-246.75737,1315.17493,328.1438,-259.3125,1059.42517,311.387756,-255.436539,1159.17737,331.203064,-261.60556,977.204468,321.1188,-258.1996,1105.08411,320.34436
547219,0.01,0.83,0.57,-3.53,2.4,-1.98,-0.12,0.95,0.29,-2.94,0.48,-1.2,0.95,0.01,-0.29,3.17,-0.24,-3.11,-254.3648,1212.36389,336.782227,-251.622467,1262.92078,336.164276,-262.690552,1026.13293,330.116547,-240.481766,1411.1925,287.42514,-246.763733,1315.20862,327.858765,-242.082748,1365.00769,315.155457,-255.485321,1159.36365,331.163971,-259.3766,1059.51318,311.151031,-258.178223,1105.12549,320.2239,-261.720428,977.493835,320.7338
