Elapsed Millisecond,IMU 1 - Acceleration X,IMU 1 - Acceleration Y,IMU 1 - Acceleration Z,IMU 1 - AngularVelocity X,IMU 1 - AngularVelocity Y,IMU 1 - AngularVelocity Z,IMU 2 - Acceleration X,IMU 2 - Acceleration Y,IMU 2 - Acceleration Z,IMU 2 - AngularVelocity X,IMU 2 - AngularVelocity Y,IMU 2 - AngularVelocity Z,IMU 3 - Acceleration X,IMU 3 - Acceleration Y,IMU 3 - Acceleration Z,IMU 3 - AngularVelocity X,IMU 3 - AngularVelocity Y,IMU 3 - AngularVelocity Z,Marker 1 - X,Marker 1 - Y,Marker 1 - Z,Marker 2 - X,Marker 2 - Y,Marker 2 - Z,Marker 3 - X,Marker 3 - Y,Marker 3 - Z,Marker 4 - X,Marker 4 - Y,Marker 4 - Z,Marker 5 - X,Marker 5 - Y,Marker 5 - Z,Marker 6 - X,Marker 6 - Y,Marker 6 - Z,Marker 7 - X,Marker 7 - Y,Marker 7 - Z,Marker 8 - X,Marker 8 - Y,Marker 8 - Z,Marker 9 - X,Marker 9 - Y,Marker 9 - Z,Marker 10 - X,Marker 10 - Y,Marker 10 - Z
112212,0,0.94,0.36,-3.6,1.63,-1.91,-0.03,1,0.14,-2.28,-0.3,-0.61,0.98,-0.09,-0.14,4.76,1.16,-2.75,-222.412613,1105.08313,342.087067,-224.3123,1156.66333,351.4733,-220.565964,1311.75989,327.0788,-214.718918,923.457642,344.7447,-222.85466,1209.83435,352.2625,-221.7428,1261.39954,348.172974,-220.012329,1057.42029,330.333374,-210.667755,879.8702,361.779724,-217.772141,1005.64557,330.7264,-216.849548,969.1883,317.4304
112223,0,0.94,0.35,-3.73,1.76,-2.04,-0.03,0.99,0.13,-2.17,-0.27,-0.59,0.98,-0.09,-0.14,4.76,1.16,-2.75,-222.420654,1105.123,341.958,-224.340424,1156.72156,351.321716,-220.514969,1311.839,326.916229,-214.72316,923.4788,344.688934,-222.821823,1209.89685,352.094177,-221.805038,1261.40613,347.993439,-220.072388,1057.46533,330.146454,-210.529892,879.94165,361.811,-217.814,1005.68793,330.631378,-216.7893,969.2141,317.423523
112232,0,0.94,0.35,-3.59,1.74,-1.66,-0.03,1,0.13,-2.18,-0.24,-0.82,0.98,-0.09,-0.15,4.64,0.92,-2.62,-224.339371,1156.77649,351.1771,-222.497025,1105.12134,341.829437,-220.5663,1311.86133,326.7444,-214.729843,923.494263,344.607056,-222.879425,1209.90771,351.92627,-221.859634,1261.45752,347.804077,-220.112427,1057.49817,330.0215,-210.604111,879.8885,361.6965,-217.8529,1005.72638,330.490356,-216.81633,969.2807,317.311981
112243,0,0.94,0.35,-3.59,1.79,-1.84,-0.03,1,0.13,-2.15,-0.14,-0.32,0.98,-0.09,-0.15,4.58,0.92,-2.56,-224.356918,1156.77625,351.0438,-222.496292,1105.1615,341.668549,-220.57547,1311.89343,326.567841,-222.943237,1209.9325,351.760284,-214.746887,923.484131,344.536621,-220.125015,1057.502,329.941376,-221.882553,1261.44556,347.6336,-210.647766,879.8943,361.642822,-217.975021,1005.75781,330.383331,-216.8627,969.3253,317.271149
112252,0,0.94,0.35,-3.69,1.97,-1.85,-0.03,1,0.14,-2.11,-0.26,-0.48,0.98,-0.09,-0.15,4.58,0.92,-2.56,-224.391144,1156.80188,350.936676,-222.52565,1105.16846,341.546661,-220.661575,1311.874,326.3762,-214.796722,923.4839,344.436127,-222.943481,1209.96655,351.6039,-221.920288,1261.50574,347.4653,-220.162064,1057.51782,329.795441,-218.009064,1005.66785,330.294,-216.914139,969.267456,317.123932,-210.9403,880.0071,361.2497
112262,0,0.95,0.35,-3.99,2.07,-1.8,-0.03,1,0.14,-2.08,-0.43,-0.57,0.98,-0.09,-0.15,4.27,1.04,-2.5,-224.418167,1156.8468,350.790283,-222.5653,1105.19763,341.4287,-220.709732,1311.90942,326.168732,-223.00795,1210.02441,351.4279,-214.850845,923.506165,344.365021,-221.9896,1261.51636,347.3002,-220.33287,1057.53113,329.601257,-218.046219,1005.75116,330.1743,-216.9642,969.3173,317.0086,-211.033569,879.9961,361.1568
112272,0,0.94,0.35,-4.67,1.98,-2.01,-0.03,1,0.13,-1.84,-0.23,-0.42,0.98,-0.09,-0.15,4.27,1.16,-2.44,-224.470657,1156.91089,350.642578,-222.556,1105.27747,341.323822,-220.779343,1311.94177,325.965759,-214.849365,923.547241,344.265259,-223.078415,1210.04358,351.267426,-222.024582,1261.57837,347.134552,-220.324661,1057.5592,329.611572,-218.061417,1005.76563,330.09375,-216.926254,969.3334,316.953278,-211.024582,880.04364,361.0685
112282,0,0.94,0.35,-4.36,2.37,-1.87,-0.03,0.99,0.14,-1.72,-0.08,-0.76,0.98,-0.09,-0.14,4.21,1.16,-2.44,-224.527023,1156.93567,350.493622,-222.58316,1105.33167,341.160339,-223.101852,1210.08264,351.137878,-214.863281,923.572632,344.2189,-220.848709,1312.00989,325.783661,-222.129349,1261.59155,346.924072,-220.349869,1057.62073,329.413727,-218.12262,1005.75281,329.9463,-216.997772,969.335449,316.8648,-211.0493,880.047363,360.9887
112293,-0.01,0.95,0.35,-4.09,1.98,-2.07,-0.03,1,0.13,-1.72,0.24,-0.43,0.99,-0.09,-0.15,4.09,1.22,-2.38,-224.566925,1156.96936,350.3358,-222.6447,1105.31372,341.027222,-214.904587,923.568054,344.103973,-223.178955,1210.07043,350.959717,-220.408875,1057.60327,329.3265,-220.851349,1311.99036,325.606354,-222.117172,1261.60986,346.7971,-218.1181,1005.7973,329.904,-217.112259,969.3123,316.557861,-211.032761,880.0881,360.8705
112303,0,0.94,0.35,-4.14,2.28,-1.82,-0.03,1,0.13,-1.69,-0.02,-0.37,0.99,-0.09,-0.14,3.97,1.1,-2.26,-222.704269,1105.31,340.89267,-224.617188,1156.96423,350.178162,-214.894974,923.582642,343.972351,-223.1633,1210.14648,350.841766,-220.3127,1057.61475,329.2331,-222.139145,1261.62317,346.635742,-220.93576,1311.99353,325.426727,-218.131027,1005.74884,329.818359,-211.1223,880.097961,360.7649,-217.001419,969.369141,316.636841
