Elapsed Millisecond,IMU 1 - Acceleration X,IMU 1 - Acceleration Y,IMU 1 - Acceleration Z,IMU 1 - AngularVelocity X,IMU 1 - AngularVelocity Y,IMU 1 - AngularVelocity Z,IMU 2 - Acceleration X,IMU 2 - Acceleration Y,IMU 2 - Acceleration Z,IMU 2 - AngularVelocity X,IMU 2 - AngularVelocity Y,IMU 2 - AngularVelocity Z,IMU 3 - Acceleration X,IMU 3 - Acceleration Y,IMU 3 - Acceleration Z,IMU 3 - AngularVelocity X,IMU 3 - AngularVelocity Y,IMU 3 - AngularVelocity Z,Marker 1 - X,Marker 1 - Y,Marker 1 - Z,Marker 2 - X,Marker 2 - Y,Marker 2 - Z,Marker 3 - X,Marker 3 - Y,Marker 3 - Z,Marker 4 - X,Marker 4 - Y,Marker 4 - Z,Marker 5 - X,Marker 5 - Y,Marker 5 - Z,Marker 6 - X,Marker 6 - Y,Marker 6 - Z,Marker 7 - X,Marker 7 - Y,Marker 7 - Z,Marker 8 - X,Marker 8 - Y,Marker 8 - Z,Marker 9 - X,Marker 9 - Y,Marker 9 - Z,Marker 10 - X,Marker 10 - Y,Marker 10 - Z
4647574,0.04,1.01,-0.03,-3.69,2.03,-1.99,-0.06,0.94,0.33,-2.58,0.9,-1.11,0.93,-0.05,-0.36,4.27,-0.49,-2.56,-259.4706,1328.56567,258.486755,-257.4369,1084.78174,223.26944,-256.932037,1476.17725,207.485779,-259.0649,1277.76221,257.148315,-257.768921,1380.98474,253.4481,-258.025177,1042.00464,232.447876,-256.6519,1432.62964,240.159,-257.226654,1134.05981,218.574921,-257.587128,1225.20056,250.030746,-257.686951,1171.747,232.203156
4647584,0.04,1.01,-0.03,-3.91,1.82,-1.84,-0.07,0.94,0.32,-2.69,0.38,-0.98,0.93,-0.05,-0.36,4.33,-0.49,-2.56,-259.002228,1277.825,256.923157,-259.436859,1328.65076,258.22052,-256.910126,1476.20459,207.1275,-257.4151,1084.79736,223.088608,-257.9379,1042.03943,232.269684,-257.77887,1381.026,253.101456,-256.62796,1432.66431,239.909317,-257.0912,1134.05444,218.959641,-257.541138,1225.22986,249.861237,-257.6445,1171.83972,231.988434
4647594,0.04,1.01,-0.03,-3.81,1.8,-2.13,-0.07,0.95,0.32,-2.66,0.41,-1.19,0.93,-0.05,-0.36,4.33,-0.43,-2.5,-259.397644,1328.74292,257.9729,-258.9426,1277.90515,256.70816,-257.4037,1084.84717,222.9404,-256.8674,1476.28784,206.773636,-257.967651,1042.10193,232.118088,-256.633484,1432.75085,239.673569,-257.799,1381.09546,252.888916,-257.595276,1225.30066,249.58223,-257.104584,1134.04492,218.84996,-257.651276,1171.94385,231.759811
4647604,0.04,1.01,-0.04,-3.81,1.81,-2.15,-0.07,0.94,0.33,-2.57,0.09,-1.03,0.93,-0.05,-0.36,4.33,-0.37,-2.44,-259.367432,1328.857,257.7516,-258.97403,1278.01147,256.493439,-256.818146,1476.33472,206.516968,-257.425568,1084.93384,222.778366,-256.552582,1432.80652,239.388123,-257.698456,1381.24548,252.694565,-257.915039,1042.21216,231.948288,-257.614716,1225.37488,249.3505,-257.2528,1134.19055,218.0168,-257.623871,1172.056,231.374527
4647614,0.04,1.01,-0.03,-3.76,1.59,-2.09,-0.07,0.94,0.33,-2.65,-0.02,-1.33,0.93,-0.05,-0.36,4.33,-0.31,-2.32,-259.350647,1328.92188,257.460541,-258.949738,1278.10291,256.283661,-256.8519,1476.40979,206.21376,-257.704376,1381.27466,252.3752,-257.3779,1085.01343,222.625351,-256.514954,1432.92212,239.113983,-257.960663,1042.28186,231.8298,-257.590485,1225.44568,249.143082,-257.224579,1134.19861,217.87442,-257.616821,1172.06091,231.1786
4647625,0.03,1.01,-0.03,-3.74,1.4,-2.02,-0.07,0.94,0.33,-2.86,0.14,-1.18,0.93,-0.05,-0.36,4.39,-0.24,-2.26,-259.333374,1328.97424,257.187469,-258.960571,1278.16858,256.014679,-256.810242,1476.43176,205.927139,-257.6687,1381.36426,252.097412,-257.4195,1085.046,222.442291,-256.444672,1432.94653,238.805023,-257.9552,1042.2876,231.7019,-257.609772,1225.515,248.894043,-257.1946,1134.21191,217.775436,-257.5517,1172.15649,230.991
4647635,0.04,1.01,-0.03,-3.92,1.23,-1.83,-0.07,0.94,0.33,-2.54,0.11,-1.46,0.93,-0.05,-0.36,4.52,-0.12,-2.2,-259.365,1328.9845,256.956543,-259.011047,1278.14282,255.750519,-256.79483,1476.44385,205.631165,-257.693939,1381.375,251.8237,-257.390137,1085.041,222.327988,-257.9506,1042.27527,231.5584,-256.3947,1432.96729,238.536041,-257.583038,1225.55884,248.701675,-257.202057,1134.28613,217.579529,-257.604767,1172.14185,230.801468
4647645,0.03,1.01,-0.03,-3.62,1.43,-1.82,-0.06,0.94,0.33,-2.4,0.27,-1.61,0.93,-0.05,-0.36,4.58,0,-2.2,-259.343,1328.99158,256.696,-258.995239,1278.16663,255.512741,-256.720032,1476.4176,205.3228,-257.360535,1085.01868,222.167923,-257.679718,1381.37073,251.515961,-257.894775,1042.29834,231.410156,-257.57373,1225.585,248.5168,-256.456,1432.97046,238.280655,-257.227264,1134.23987,217.34996,-257.608521,1172.27393,230.4765
4647655,0.04,1.01,-0.02,-4.14,1.56,-1.81,-0.07,0.94,0.33,-2.23,0.1,-1.16,0.93,-0.05,-0.36,4.82,0.18,-2.26,-258.983765,1278.18774,255.272476,-259.3436,1329.002,256.4471,-256.668671,1476.39709,205.074066,-257.316437,1085.04028,222.010223,-257.655853,1381.39221,251.305557,-257.9227,1042.264,231.222672,-256.412354,1433.01733,238.035187,-257.494446,1225.55725,248.320816,-257.2369,1134.2644,217.130066,-257.600952,1172.2854,230.3359
4647665,0.04,1.02,-0.03,-3.98,1.38,-1.61,-0.07,0.94,0.33,-2.06,-0.17,-1.12,0.93,-0.05,-0.36,4.82,0.31,-2.2,-258.893127,1278.22388,255.054611,-259.293243,1329.04773,256.225769,-256.659729,1476.45056,204.755829,-257.281952,1085.03979,221.849411,-257.621521,1381.43738,251.0669,-257.914551,1042.30615,231.077316,-256.405151,1433.031,237.700272,-257.106873,1134.25562,217.628036,-257.363129,1225.59082,248.190765,-257.6309,1172.30164,230.119431
4647675,0.04,1.01,-0.03,-4.14,1.51,-1.7,-0.07,0.94,0.33,-2.22,-0.05,-1.01,0.93,-0.05,-0.36,4.82,0.49,-2.26,-258.854034,1278.29431,254.867279,-259.294983,1329.12207,255.98967,-257.299866,1085.13318,221.669662,-256.533234,1476.494,204.5047,-257.6606,1381.54382,250.7267,-257.93042,1042.41138,230.8544,-256.4328,1433.05945,237.406265,-257.45752,1225.71509,247.90538,-257.092438,1134.31836,217.384323,-257.604431,1172.37732,229.977478
4647685,0.04,1.01,-0.03,-4.26,1.44,-1.61,-0.07,0.94,0.33,-2.11,-0.19,-1.08,0.93,-0.05,-0.36,4.7,0.61,-2.14,-259.2581,1329.19788,255.78688,-258.8256,1278.38708,254.683,-256.615845,1476.575,204.287445,-257.321136,1085.20215,221.527832,-257.593536,1381.58813,250.552979,-257.903076,1042.42664,230.8062,-256.4173,1433.19324,237.16687,-257.271179,1225.73535,247.821228,-257.066559,1134.294,217.236908,-257.5513,1172.40588,229.809052
4647695,0.04,1.01,-0.03,-3.91,1.44,-1.69,-0.07,0.94,0.33,-2.22,-0.14,-0.76,0.93,-0.05,-0.36,4.64,0.61,-1.95,-259.3143,1329.29346,255.524612,-258.833,1278.42981,254.482529,-257.318329,1085.24341,221.383881,-256.5659,1476.617,204.038467,-257.6293,1381.67249,250.31749,-256.485779,1433.21033,236.899918,-257.93927,1042.55225,230.602142,-257.3758,1225.8656,247.472443,-257.125671,1134.35828,217.04512,-257.568054,1172.49524,229.626663
4647706,0.04,1.01,-0.03,-4.11,1.59,-1.47,-0.07,0.94,0.33,-1.96,-0.14,-0.82,0.93,-0.05,-0.36,4.64,0.61,-1.95,-259.360229,1329.31018,255.27597,-258.891418,1278.46484,254.267532,-257.356,1085.27576,221.22966,-256.7357,1476.6283,203.737762,-257.646759,1381.71362,250.083847,-256.472443,1433.22815,236.624771,-257.91,1042.55908,230.48732,-257.401367,1225.92566,247.253311,-257.105347,1134.37354,216.9141,-257.5787,1172.41772,229.45459
4647715,0.04,1.01,-0.03,-3.97,1.63,-1.31,-0.07,0.94,0.33,-1.8,-0.3,-0.72,0.93,-0.05,-0.36,4.52,0.55,-1.95,-259.28595,1329.34961,255.111,-258.8507,1278.491,254.098846,-257.38623,1085.29309,221.0159,-257.644775,1381.73364,249.824829,-256.712067,1476.67786,203.493546,-256.4864,1433.29065,236.432892,-257.930725,1042.62122,230.291138,-257.3983,1226.00061,247.08696,-257.0777,1134.43848,216.78685,-257.605,1172.40076,229.297348
4647727,0.03,1.01,-0.03,-4.04,1.56,-1.43,-0.07,0.93,0.33,-1.56,-0.25,-0.6,0.93,-0.05,-0.35,4.21,0.79,-2.01,-258.849335,1278.49609,253.6234,-259.4082,1329.33691,254.591415,-257.330383,1085.28906,220.69931,-256.656433,1476.6709,202.979156,-257.596527,1381.77673,249.419357,-257.802948,1042.5946,229.9683,-256.463135,1433.27063,235.985062,-257.4728,1226.04407,246.5911,-257.115417,1134.51245,216.0357,-257.5667,1172.46216,228.933578
4647736,0.04,1.01,-0.03,-3.94,1.66,-1.69,-0.07,0.94,0.33,-1.79,-0.23,-0.56,0.93,-0.05,-0.35,4.21,0.79,-2.01,-258.810242,1278.51245,253.447,-257.3364,1085.28552,220.503647,-256.6245,1476.67834,202.752579,-259.36496,1329.35815,254.3806,-257.484772,1381.794,249.1826,-256.389374,1433.24146,235.752243,-257.865479,1042.54541,229.796021,-256.986023,1134.52466,215.917831,-257.6626,1226.107,246.193176,-257.504852,1172.53638,228.795822
4647746,0.04,1.01,-0.02,-3.81,1.75,-1.59,-0.06,0.94,0.33,-1.59,-0.49,-0.45,0.93,-0.05,-0.35,4.15,1.04,-1.89,-258.810242,1278.51245,253.447,-257.3364,1085.28552,220.503647,-256.6245,1476.67834,202.752579,-259.36496,1329.35815,254.3806,-257.484772,1381.794,249.1826,-256.389374,1433.24146,235.752243,-257.865479,1042.54541,229.796021,-256.986023,1134.52466,215.917831,-257.6626,1226.107,246.193176,-257.504852,1172.53638,228.795822
