Elapsed Millisecond,IMU 1 - Acceleration X,IMU 1 - Acceleration Y,IMU 1 - Acceleration Z,IMU 1 - AngularVelocity X,IMU 1 - AngularVelocity Y,IMU 1 - AngularVelocity Z,IMU 2 - Acceleration X,IMU 2 - Acceleration Y,IMU 2 - Acceleration Z,IMU 2 - AngularVelocity X,IMU 2 - AngularVelocity Y,IMU 2 - AngularVelocity Z,IMU 3 - Acceleration X,IMU 3 - Acceleration Y,IMU 3 - Acceleration Z,IMU 3 - AngularVelocity X,IMU 3 - AngularVelocity Y,IMU 3 - AngularVelocity Z,Marker 1 - X,Marker 1 - Y,Marker 1 - Z,Marker 2 - X,Marker 2 - Y,Marker 2 - Z,Marker 3 - X,Marker 3 - Y,Marker 3 - Z,Marker 4 - X,Marker 4 - Y,Marker 4 - Z,Marker 5 - X,Marker 5 - Y,Marker 5 - Z,Marker 6 - X,Marker 6 - Y,Marker 6 - Z,Marker 7 - X,Marker 7 - Y,Marker 7 - Z,Marker 8 - X,Marker 8 - Y,Marker 8 - Z,Marker 9 - X,Marker 9 - Y,Marker 9 - Z,Marker 10 - X,Marker 10 - Y,Marker 10 - Z
4727478,0.07,1.01,-0.06,-3.14,2.29,-1.96,-0.05,0.94,0.33,-2.27,0.66,-0.5,0.93,-0.07,-0.35,3.66,-0.73,-2.38,-251.733948,1330.49792,234.3693,-244.017929,1087.77014,203.085129,-250.5336,1279.8844,234.687271,-250.2799,1382.8457,227.822,-249.0997,1433.80054,214.226349,-248.451431,1477.012,180.065414,-244.007919,1046.999,214.119354,-247.848038,1227.247,230.265015,-244.63887,1138.5304,203.5125,-246.810333,1173.50122,212.734711
4727488,0.07,1.01,-0.06,-3.09,2.35,-2.03,-0.05,0.94,0.33,-2.35,0.76,-0.5,0.93,-0.07,-0.36,3.42,-0.67,-2.32,-251.6275,1330.70251,233.911667,-243.886917,1087.89307,202.804916,-250.469009,1280.08228,234.256729,-250.227066,1382.956,227.361176,-248.389938,1477.14246,179.5845,-248.983734,1433.94055,213.779724,-243.826767,1047.07507,213.90686,-247.7494,1227.3916,229.944519,-244.647,1138.77539,202.693466,-246.663742,1173.699,212.468567
4727498,0.07,1.01,-0.06,-3.32,2.43,-2.21,-0.05,0.94,0.33,-2.38,0.75,-0.61,0.93,-0.07,-0.36,3.42,-0.73,-2.44,-251.6275,1330.70251,233.911667,-243.886917,1087.89307,202.804916,-250.469009,1280.08228,234.256729,-250.227066,1382.956,227.361176,-248.389938,1477.14246,179.5845,-248.983734,1433.94055,213.779724,-243.826767,1047.07507,213.90686,-247.7494,1227.3916,229.944519,-244.647,1138.77539,202.693466,-246.663742,1173.699,212.468567
4727508,0.08,1.01,-0.06,-3.6,2.51,-2.1,-0.05,0.94,0.33,-2.28,0.76,-0.42,0.93,-0.07,-0.36,3.42,-0.73,-2.44,-251.603165,1330.73047,233.696625,-250.404861,1280.12024,234.033279,-243.900284,1087.91052,202.65181,-250.228073,1383.05164,227.116531,-248.2933,1477.22363,179.310074,-243.824722,1047.17114,213.743683,-248.915283,1434.02454,213.515045,-247.740891,1227.47681,229.828278,-246.643814,1173.73621,212.231583,-244.509079,1138.75818,202.9083
4727518,0.07,1.01,-0.06,-3.51,2.5,-2.11,-0.05,0.94,0.33,-2.32,0.74,-0.68,0.93,-0.07,-0.35,3.36,-0.43,-2.44,-251.632065,1330.80029,233.452072,-250.402039,1280.1814,233.8279,-243.843948,1087.975,202.545441,-250.10759,1383.088,226.907822,-248.29451,1477.25562,179.105942,-248.955673,1434.09351,213.2503,-243.8607,1047.18555,213.565659,-247.653824,1227.5498,229.6291,-246.637436,1173.76782,212.06781,-244.516251,1138.766,202.564209
4727528,0.07,1.01,-0.06,-3.78,2.64,-1.98,-0.05,0.95,0.33,-2.09,0.86,-0.43,0.93,-0.07,-0.35,3.48,-0.49,-2.44,-251.602051,1330.81226,233.196823,-250.316254,1280.19885,233.609573,-250.125885,1383.11084,226.696838,-243.814819,1087.96252,202.392639,-248.952469,1434.12451,212.93042,-248.185623,1477.259,178.821579,-243.82692,1047.25391,213.42836,-247.562836,1227.35608,229.562347,-246.558121,1173.72351,211.946732,-244.399017,1138.69287,202.77272
4727538,0.07,1.01,-0.05,-3.94,2.69,-2.25,-0.05,0.95,0.33,-2.08,0.82,-0.74,0.94,-0.07,-0.35,3.42,-0.49,-2.5,-251.580948,1330.83008,232.971725,-250.311356,1280.2179,233.395477,-250.041168,1383.14771,226.474915,-243.766479,1087.97656,202.247421,-248.183472,1477.2843,178.56752,-248.879913,1434.08972,212.708054,-243.8314,1047.22009,213.201981,-247.556717,1227.39343,229.479752,-244.407166,1138.71521,202.527084,-246.501862,1173.83264,211.754517
4727548,0.07,1.01,-0.06,-3.94,2.88,-2.29,-0.05,0.95,0.33,-2.31,0.82,-0.79,0.94,-0.07,-0.35,3.3,-0.49,-2.62,-251.511169,1330.83972,232.74736,-250.259277,1280.21,233.197021,-249.996643,1383.15918,226.256943,-243.770828,1087.89465,202.12677,-248.080856,1477.25073,178.355347,-248.884155,1434.10217,212.40831,-243.7727,1047.191,213.0989,-244.446869,1138.8302,202.09,-247.488235,1227.38513,229.209824,-246.554611,1173.83533,211.465408
4727558,0.07,1.01,-0.05,-3.79,2.97,-2.17,-0.05,0.95,0.33,-2.27,0.92,-0.82,0.94,-0.07,-0.35,3.3,-0.49,-2.62,-251.473663,1330.86365,232.514526,-250.2237,1280.2052,232.994049,-249.953384,1383.19971,226.032516,-243.712692,1087.94739,201.996826,-248.073273,1477.25232,178.053085,-248.88797,1434.113,212.119446,-243.825089,1047.19666,212.9008,-244.449921,1138.82813,201.830231,-247.446152,1227.45178,229.119385,-246.541153,1173.89417,211.288391
4727568,0.07,1.01,-0.06,-3.71,2.92,-2.36,-0.05,0.95,0.33,-2.3,0.9,-0.96,0.94,-0.07,-0.35,3.3,-0.49,-2.75,-251.411911,1330.99524,232.089386,-250.119827,1280.39685,232.588913,-249.808136,1383.32422,225.584045,-243.641739,1088.03,201.755936,-248.006638,1477.3374,177.554077,-248.84491,1434.31274,211.643433,-243.760376,1047.24939,212.6698,-244.419983,1138.99182,201.455322,-247.41095,1227.64685,228.675461,-246.655365,1174.17334,210.669769
