Elapsed Millisecond,IMU 1 - Acceleration X,IMU 1 - Acceleration Y,IMU 1 - Acceleration Z,IMU 1 - AngularVelocity X,IMU 1 - AngularVelocity Y,IMU 1 - AngularVelocity Z,IMU 2 - Acceleration X,IMU 2 - Acceleration Y,IMU 2 - Acceleration Z,IMU 2 - AngularVelocity X,IMU 2 - AngularVelocity Y,IMU 2 - AngularVelocity Z,IMU 3 - Acceleration X,IMU 3 - Acceleration Y,IMU 3 - Acceleration Z,IMU 3 - AngularVelocity X,IMU 3 - AngularVelocity Y,IMU 3 - AngularVelocity Z,Marker 1 - X,Marker 1 - Y,Marker 1 - Z,Marker 2 - X,Marker 2 - Y,Marker 2 - Z,Marker 3 - X,Marker 3 - Y,Marker 3 - Z,Marker 4 - X,Marker 4 - Y,Marker 4 - Z,Marker 5 - X,Marker 5 - Y,Marker 5 - Z,Marker 6 - X,Marker 6 - Y,Marker 6 - Z,Marker 7 - X,Marker 7 - Y,Marker 7 - Z,Marker 8 - X,Marker 8 - Y,Marker 8 - Z,Marker 9 - X,Marker 9 - Y,Marker 9 - Z,Marker 10 - X,Marker 10 - Y,Marker 10 - Z
3622487,-0.14,0.91,0.38,-4.3,2.11,-2.3,-0.1,0.99,0.13,-1.22,0.08,-0.44,0.95,-0.01,-0.3,4.33,2.62,-2.32,-235.846817,1151.20068,259.5659,-238.34436,1101.64868,260.195221,-252.050858,915.5877,261.0703,-232.467041,1204.40442,258.8353,-239.184921,1049.02368,253.404083,-254.8618,868.583,270.981384,-227.872177,1255.464,253.203491,-245.28862,957.1012,231.744522,-241.219055,994.9243,240.667923,-225.569626,1305.58472,230.34111
3622497,-0.14,0.92,0.39,-4.26,2.42,-2.32,-0.1,0.99,0.13,-1.5,-0.1,-0.74,0.95,-0.01,-0.31,4.33,2.99,-2.38,-235.846817,1151.20068,259.5659,-238.34436,1101.64868,260.195221,-252.050858,915.5877,261.0703,-232.467041,1204.40442,258.8353,-239.184921,1049.02368,253.404083,-254.8618,868.583,270.981384,-227.872177,1255.464,253.203491,-245.28862,957.1012,231.744522,-241.219055,994.9243,240.667923,-225.569626,1305.58472,230.34111
3622509,-0.14,0.91,0.38,-3.94,2.37,-2.24,-0.1,0.99,0.13,-1.05,0.1,-0.77,0.95,-0.01,-0.31,4.33,2.99,-2.38,-235.775833,1151.16406,259.518127,-238.350311,1101.56689,260.13678,-252.0233,915.5267,261.0075,-232.398438,1204.359,258.774475,-239.055817,1048.96973,253.447739,-254.778152,868.537659,270.900055,-245.5459,957.4075,231.41803,-227.831253,1255.43652,253.103485,-241.230728,995.0645,240.529037,-225.494446,1305.49365,230.268921
3622518,-0.14,0.92,0.38,-3.67,2.19,-2.12,-0.1,0.99,0.13,-0.7,0.16,-0.81,0.95,-0.01,-0.31,4.39,3.11,-2.38,-235.726,1151.131,259.519257,-238.281616,1101.55615,260.158417,-239.087189,1048.93408,253.394577,-232.37796,1204.36047,258.7718,-251.9491,915.513855,260.962952,-254.7839,868.5385,270.8179,-227.79834,1255.431,252.9092,-245.312042,957.1028,231.706436,-241.208954,995.0692,240.467636,-225.498611,1305.417,230.2371
3622528,-0.14,0.91,0.38,-3.79,2.08,-2.15,-0.1,0.99,0.13,-0.57,0.19,-0.55,0.95,-0.01,-0.31,4.21,2.81,-2.62,-235.704239,1151.13525,259.500946,-238.261688,1101.55713,260.1302,-254.632446,868.6513,270.781738,-232.332672,1204.3645,258.72406,-251.918152,915.538757,260.941254,-238.948776,1048.95313,253.480011,-245.398331,957.3628,231.388947,-227.75061,1255.41821,253.050034,-241.184128,995.133545,240.457962,-225.513641,1305.4104,230.208359
3622538,-0.14,0.92,0.38,-3.81,2.4,-2.2,-0.09,0.99,0.13,-0.53,-0.09,-1.04,0.95,-0.01,-0.31,4.33,2.81,-2.69,-235.70813,1151.203,259.4789,-238.219574,1101.54968,260.135529,-232.380127,1204.407,258.675964,-238.963562,1048.93811,253.412323,-251.890244,915.5501,260.906067,-254.7607,868.6503,270.73996,-227.745956,1255.44165,253.024567,-245.203644,957.1044,231.629318,-241.127838,995.141,240.3938,-225.472229,1305.45093,230.200928
3622548,-0.14,0.91,0.38,-4.06,1.97,-1.96,-0.1,0.99,0.13,-0.62,-0.05,-1.04,0.95,-0.01,-0.31,4.52,2.93,-2.75,-238.253143,1101.57336,260.0853,-235.7379,1151.18713,259.474548,-232.437042,1204.3728,258.6837,-251.954712,915.6045,260.880859,-238.940384,1049.015,253.453339,-254.725677,868.6409,270.776337,-245.227112,957.1215,231.584747,-227.782837,1255.46057,253.041245,-241.141479,995.115,240.3245,-225.481308,1305.51685,230.215042
3622558,-0.14,0.91,0.39,-3.92,2.12,-2.18,-0.1,0.99,0.13,-0.72,0.06,-1.14,0.95,-0.01,-0.31,4.7,3.17,-2.81,-235.819229,1151.16626,259.439972,-238.360031,1101.59253,260.069336,-252.001068,915.5943,260.834076,-232.399551,1204.39832,258.731873,-254.897049,868.650635,270.693085,-239.027527,1048.94482,253.373932,-245.264481,957.069641,231.559036,-241.145645,995.019165,240.387512,-227.7907,1255.43079,253.088242,-225.463089,1305.529,230.226212
3622568,-0.14,0.92,0.39,-3.72,2.14,-2.12,-0.1,0.99,0.13,-0.73,-0.56,-1.13,0.95,-0.01,-0.31,4.58,3.3,-2.69,-235.846039,1151.15442,259.447021,-238.3295,1101.56128,260.047577,-252.027863,915.591248,260.8161,-232.409,1204.29932,258.745728,-254.92038,868.7009,270.60318,-239.120255,1048.924,253.3379,-245.264709,957.056152,231.522125,-227.764938,1255.40552,253.044662,-241.212921,994.9582,240.210159,-225.470871,1305.54956,230.191422
3622578,-0.14,0.91,0.39,-3.65,2.29,-2.16,-0.1,0.99,0.13,-0.72,-0.62,-0.86,0.95,-0.01,-0.31,4.33,3.17,-2.62,-235.814636,1151.08765,259.466675,-238.3028,1101.5343,260.061981,-252.0108,915.5618,260.777252,-232.369156,1204.27344,258.726959,-239.096054,1048.9231,253.261765,-254.842285,868.632263,270.675049,-245.261169,957.0386,231.482941,-227.724854,1255.3949,253.120987,-241.225983,994.989136,240.2268,-225.435349,1305.54077,230.157288
