Elapsed Millisecond,IMU 1 - Acceleration X,IMU 1 - Acceleration Y,IMU 1 - Acceleration Z,IMU 1 - AngularVelocity X,IMU 1 - AngularVelocity Y,IMU 1 - AngularVelocity Z,IMU 2 - Acceleration X,IMU 2 - Acceleration Y,IMU 2 - Acceleration Z,IMU 2 - AngularVelocity X,IMU 2 - AngularVelocity Y,IMU 2 - AngularVelocity Z,IMU 3 - Acceleration X,IMU 3 - Acceleration Y,IMU 3 - Acceleration Z,IMU 3 - AngularVelocity X,IMU 3 - AngularVelocity Y,IMU 3 - AngularVelocity Z,Marker 1 - X,Marker 1 - Y,Marker 1 - Z,Marker 2 - X,Marker 2 - Y,Marker 2 - Z,Marker 3 - X,Marker 3 - Y,Marker 3 - Z,Marker 4 - X,Marker 4 - Y,Marker 4 - Z,Marker 5 - X,Marker 5 - Y,Marker 5 - Z,Marker 6 - X,Marker 6 - Y,Marker 6 - Z,Marker 7 - X,Marker 7 - Y,Marker 7 - Z,Marker 8 - X,Marker 8 - Y,Marker 8 - Z,Marker 9 - X,Marker 9 - Y,Marker 9 - Z,Marker 10 - X,Marker 10 - Y,Marker 10 - Z
3894183,-0.39,0.18,0.9,-0.08,3.46,-0.5,-0.37,-0.07,0.88,6.84,2.66,2.4,0.3,0.32,0.89,0.61,8.54,-1.77,-89.41858,987.1628,108.658333,-284.728943,956.484131,269.674042,-208.456589,969.2971,209.546,-126.435738,986.9363,141.2554,-318.034149,943.354431,299.494354,-48.8400841,989.1578,75.15295,-242.753845,956.2833,235.921326,-166.064331,980.103943,176.111115,28.1011276,973.517,5.165056,-8.830304,987.4834,43.6506577
3894193,-0.39,0.17,0.89,-0.52,3.33,-0.88,-0.37,-0.07,0.88,6.77,2.72,2.17,0.3,0.32,0.89,0.92,8.36,-1.95,-284.845734,956.574,269.787445,-89.54357,987.5209,108.910309,-208.61142,969.4472,209.687469,-126.592293,987.252136,141.462219,-318.141968,943.3882,299.652618,-48.9126663,989.595947,75.3839,-243.01059,956.3849,235.992157,-166.409729,980.2908,176.022949,-8.973735,987.943542,43.9476357,27.90332,973.9375,5.341132
3894203,-0.39,0.17,0.9,-0.35,3.04,-0.93,-0.37,-0.06,0.87,6.58,2.41,1.67,0.3,0.32,0.89,1.04,8.3,-2.14,-284.9608,956.618,269.953644,-89.66714,987.8756,109.098579,-208.800476,969.6117,209.814484,-126.756866,987.530457,141.627747,-318.2497,943.4252,299.813354,-49.06034,990.0455,75.63984,-243.235443,956.4807,236.109314,-166.528625,980.5318,176.180984,-9.076969,988.4475,44.221386,27.7391911,974.497864,5.63828754
3894213,-0.39,0.17,0.9,0.17,2.91,-0.94,-0.37,-0.06,0.87,6.42,2.11,1.26,0.3,0.32,0.89,1.22,8.06,-2.32,-285.0314,956.667542,270.107269,-89.79138,988.2144,109.285492,-208.9612,969.7106,210.003174,-126.936256,987.8089,141.84729,-318.4584,943.410461,299.8769,-49.1965637,990.4096,75.88404,-243.119553,956.5365,236.3515,-166.6412,980.758057,176.414032,-9.273328,988.9948,44.31958,27.4484882,974.9751,5.513724
3894223,-0.38,0.18,0.89,-0.32,2.4,-1,-0.37,-0.06,0.88,5.93,1.66,1.01,0.3,0.32,0.89,1.71,7.81,-2.38,-285.1685,956.682251,270.2368,-89.93555,988.5087,109.497948,-209.038589,969.8,210.240326,-127.125473,988.0988,142.022583,-318.531,943.400269,300.082336,-49.2800865,990.663269,76.251236,-243.262665,956.563965,236.524536,-166.709381,980.9212,176.661133,-9.40059948,989.2966,44.6804428,27.4380074,975.6328,5.799127
3894233,-0.39,0.17,0.9,-0.95,2.26,-0.99,-0.38,-0.06,0.89,5.64,1.69,1.08,0.3,0.32,0.88,2.14,7.81,-2.44,-285.302063,956.6821,270.381561,-90.08489,988.7613,109.724518,-209.19783,969.9634,210.362656,-127.19516,988.267151,142.211044,-318.653748,943.3347,300.191345,-49.36996,991.032959,76.44677,-243.401611,956.5823,236.694275,-166.872223,981.0384,176.794144,-9.448977,989.7512,44.9777565,27.3433876,976.02594,6.090117
3894243,-0.38,0.17,0.9,-1.07,2.38,-1.15,-0.37,-0.07,0.89,5.49,1.82,1.09,0.3,0.32,0.89,2.81,7.93,-2.38,-285.4223,956.680237,270.559937,-90.19144,989.0292,109.944992,-209.323334,969.993958,210.57637,-127.378517,988.5357,142.408081,-318.797,943.3455,300.2929,-49.51291,991.2392,76.72156,-243.5532,956.6166,236.8041,-166.76564,981.213867,177.270782,-9.660437,990.0416,45.1261,27.3780251,976.4698,6.553042
3894253,-0.38,0.18,0.9,-1.41,1.91,-0.73,-0.38,-0.07,0.89,5.85,1.62,0.85,0.3,0.32,0.89,2.75,7.93,-2.44,-285.563782,956.660645,270.7348,-90.38297,989.26886,110.159668,-209.526108,970.0505,210.7312,-127.461411,988.6475,142.59436,-319.012,943.3149,300.358246,-49.62714,991.6695,76.87971,-243.666229,956.706055,236.936783,-166.9322,981.3304,177.444672,-9.678917,990.4379,45.3526421,27.2809944,976.880554,6.772694
3894263,-0.38,0.18,0.89,-1.67,1.95,-0.66,-0.38,-0.06,0.88,5.84,1.14,0.92,0.3,0.32,0.89,2.75,7.81,-2.44,-285.727,956.6635,270.874,-90.4919052,989.511963,110.413017,-127.578339,988.7996,142.801453,-209.698029,970.112549,210.919968,-319.129852,943.3052,300.55072,-49.7820129,991.922,77.1257858,-243.833908,956.692139,237.083817,-167.099564,981.537231,177.573563,-9.850813,990.774963,45.5941,27.15052,977.323853,7.025567
3894273,-0.38,0.18,0.9,-1.29,2.35,-0.61,-0.38,-0.05,0.88,5.76,0.88,1.01,0.31,0.31,0.88,2.75,8,-2.14,-285.884674,956.6872,271.039459,-90.6925659,989.761841,110.636612,-127.684639,988.949,143.037537,-209.897263,970.21,211.0892,-319.2648,943.278259,300.719727,-49.9597321,992.3693,77.2916946,-167.297134,981.689,177.711548,-243.9838,956.7513,237.264572,-10.0274849,991.1292,45.7591248,27.0053024,977.8024,7.27724028
3894283,-0.38,0.19,0.89,-0.72,3.01,-0.6,-0.38,-0.05,0.87,5.89,0.79,1.18,0.31,0.31,0.88,2.75,7.57,-2.08,-286.008972,956.744568,271.2109,-90.84726,990.0376,110.889053,-127.909904,989.2284,143.28743,-210.031235,970.3011,211.328812,-319.421661,943.221,300.885437,-50.09943,992.749268,77.51718,-244.128143,956.8804,237.406921,-167.406815,981.873657,178.037277,-10.2015228,991.645264,45.9829063,26.7287769,978.288757,7.558461
3894293,-0.38,0.19,0.88,-1.13,2.76,-0.51,-0.37,-0.05,0.88,5.5,0.6,1.32,0.31,0.32,0.88,2.75,7.57,-2.08,-286.1938,956.769836,271.3953,-91.0033951,990.257263,111.099922,-128.0903,989.398865,143.508713,-210.212265,970.361267,211.4973,-319.647034,943.2106,300.9823,-167.727692,981.977966,178.14682,-50.2159767,993.1228,77.77987,-244.320114,956.8601,237.535049,-10.2764235,991.9468,46.2831078,26.72095,978.729858,7.8068924
3894304,-0.39,0.19,0.91,-1.11,3.73,-0.55,-0.37,-0.05,0.88,5,0.59,1.38,0.32,0.31,0.88,2.87,7.26,-2.01,-286.301941,956.7668,271.575531,-91.1272,990.525146,111.347588,-128.243851,989.6254,143.772217,-210.37178,970.474365,211.6933,-319.7354,943.2063,301.201782,-167.913422,982.0623,178.331512,-50.36064,993.427063,78.02578,-244.4801,956.9352,237.728882,26.6556721,979.133362,8.053011,-10.4416466,992.2799,46.5320358
3894314,-0.39,0.19,0.9,-1.03,3.64,-0.73,-0.37,-0.04,0.87,5.07,1.03,1.15,0.32,0.32,0.88,2.69,6.77,-2.14,-286.460541,956.7741,271.771881,-91.29981,990.7704,111.57486,-128.434052,989.822754,144.036209,-210.469,970.530457,211.843323,-319.89447,943.157959,301.3118,-50.5055351,993.652832,78.27665,-244.654648,956.898,237.8926,-167.9037,982.190247,178.670334,26.490881,979.532349,8.306745,-10.6133041,992.6169,46.7729073
3894324,-0.39,0.19,0.9,-1.31,3.57,-0.69,-0.38,-0.05,0.88,4.71,1.21,1.22,0.32,0.32,0.88,2.44,6.41,-2.14,-286.6094,956.7204,271.92392,-91.45052,990.9807,111.794556,-128.599716,989.959,144.2068,-210.725525,970.6065,211.959167,-50.63021,993.8753,78.5259857,-319.970459,943.1104,301.598083,-244.7435,956.9307,238.081818,-168.019684,982.2526,178.940475,-10.8005781,992.9135,46.9306679,26.16753,979.716553,8.163081
