Elapsed Millisecond,IMU 1 - Acceleration X,IMU 1 - Acceleration Y,IMU 1 - Acceleration Z,IMU 1 - AngularVelocity X,IMU 1 - AngularVelocity Y,IMU 1 - AngularVelocity Z,IMU 2 - Acceleration X,IMU 2 - Acceleration Y,IMU 2 - Acceleration Z,IMU 2 - AngularVelocity X,IMU 2 - AngularVelocity Y,IMU 2 - AngularVelocity Z,IMU 3 - Acceleration X,IMU 3 - Acceleration Y,IMU 3 - Acceleration Z,IMU 3 - AngularVelocity X,IMU 3 - AngularVelocity Y,IMU 3 - AngularVelocity Z,Marker 1 - X,Marker 1 - Y,Marker 1 - Z,Marker 2 - X,Marker 2 - Y,Marker 2 - Z,Marker 3 - X,Marker 3 - Y,Marker 3 - Z,Marker 4 - X,Marker 4 - Y,Marker 4 - Z,Marker 5 - X,Marker 5 - Y,Marker 5 - Z,Marker 6 - X,Marker 6 - Y,Marker 6 - Z,Marker 7 - X,Marker 7 - Y,Marker 7 - Z,Marker 8 - X,Marker 8 - Y,Marker 8 - Z,Marker 9 - X,Marker 9 - Y,Marker 9 - Z,Marker 10 - X,Marker 10 - Y,Marker 10 - Z
3991089,-0.34,0.16,0.93,-1.36,2.88,-2.14,-0.29,-0.13,0.92,3.72,0.37,-0.11,0.18,0.28,0.95,2.87,7.45,-2.56,-282.155365,961.9858,276.2956,-207.223557,970.2485,209.80368,-314.186951,950.338867,307.701477,-131.875259,973.496,133.231613,-97.67895,968.6255,98.1726456,-167.883957,973.3118,171.998077,-59.8885765,966.396,61.9436226,-242.284042,962.015137,241.063721,-22.4479847,962.2997,27.3399887,11.7821264,943.2123,-12.5191679
3991099,-0.34,0.16,0.92,-1.37,2.3,-2.19,-0.29,-0.13,0.92,3.81,0.63,-0.01,0.18,0.29,0.94,2.93,7.14,-2.75,-282.157379,961.9302,276.2212,-207.2118,970.3036,209.823029,-314.157837,950.2937,307.678,-131.864914,973.625061,133.253372,-97.61672,968.816833,98.18132,-59.8303,966.699951,61.90141,-242.510971,961.974,240.797592,-167.910141,973.4682,172.027359,-22.3173447,962.7016,27.3136063,11.8887777,943.6575,-12.4887257
3991109,-0.34,0.16,0.91,-1.55,2.75,-2.15,-0.29,-0.13,0.92,3.76,0.22,0.04,0.18,0.29,0.94,2.93,7.14,-2.75,-282.169617,961.914246,276.184326,-207.198532,970.319153,209.823837,-131.83728,973.7818,133.267517,-314.143921,950.2741,307.619934,-97.57028,969.006,98.18824,-167.883,973.484558,171.995728,-59.75118,966.924438,61.93552,-242.621033,962.073547,240.757172,-22.2824039,962.9858,27.3351688,11.8545208,943.9546,-12.4862967
3991119,-0.34,0.16,0.92,-1.25,2.36,-1.82,-0.29,-0.13,0.92,4.03,0.05,0.18,0.18,0.29,0.94,3.36,7.02,-2.62,-282.154022,961.9236,276.11615,-207.221191,970.3926,209.758682,-131.810059,973.9425,133.26001,-314.238068,950.252747,307.502228,-97.52043,969.207031,98.20835,-167.831451,973.54895,172.0415,-59.67175,967.2044,61.98056,-242.57399,962.0523,240.713028,-22.1291218,963.550537,27.2368355,12.0080376,944.2172,-12.4590206
3991129,-0.33,0.16,0.91,-1.52,2.75,-1.69,-0.29,-0.13,0.93,4.45,-0.33,0.01,0.18,0.29,0.93,3.78,7.26,-2.5,-282.1565,961.9344,276.076569,-207.1591,970.4568,209.784775,-131.810684,974.108459,133.254608,-314.1608,950.2359,307.491974,-97.54413,969.407654,98.2455139,-167.767609,973.726563,172.034348,-59.68454,967.4745,61.9932442,-242.584747,962.0758,240.653427,-22.1856766,963.6826,27.3706989,12.0893316,944.480042,-12.3762608
3991140,-0.34,0.16,0.92,-2.07,2.66,-1.42,-0.29,-0.13,0.93,4.65,-0.48,0.16,0.18,0.29,0.93,3.91,7.93,-2.38,-282.188843,961.9539,276.0143,-97.50914,969.688965,98.22619,-314.167877,950.259155,307.446167,-131.856155,974.274963,133.280426,-59.6673279,967.7834,62.0741348,-167.815109,973.823547,172.065292,-207.128662,970.6958,209.920837,-242.246078,962.0887,240.861618,-22.15031,964.0139,27.3809,12.1788845,944.8883,-12.4136486
3991149,-0.34,0.16,0.93,-1.93,2.92,-1.1,-0.29,-0.13,0.93,5.13,-0.47,0.29,0.18,0.29,0.93,3.91,7.93,-2.38,-282.1895,961.9718,275.985046,-97.543,969.9237,98.2185745,-207.22673,970.624451,209.846161,-131.835846,974.5252,133.256744,-314.189,950.2295,307.409851,-167.765671,973.993835,172.053986,-59.6227341,968.0694,62.14483,-242.555084,962.161865,240.629547,-22.15374,964.4041,27.3964939,12.2024708,945.395447,-12.3839617
3991159,-0.34,0.16,0.92,-2.27,2.83,-1.51,-0.3,-0.13,0.93,5.49,-0.54,0.17,0.18,0.29,0.94,3.78,8.42,-2.14,-282.239624,961.9944,275.945862,-97.57734,970.2068,98.2378845,-207.371017,970.679932,209.737686,-131.876846,974.7061,133.30397,-314.24173,950.234131,307.3561,-167.851685,974.063538,172.077271,-59.64433,968.3651,62.12854,-242.635864,962.163757,240.624725,-22.21828,964.761353,27.4274063,12.1820478,945.8613,-12.4020262
3991170,-0.34,0.17,0.93,-2.09,1.53,-0.78,-0.29,-0.12,0.93,6.02,-0.22,0.31,0.19,0.29,0.94,3.66,8.85,-2.14,-282.304,961.964966,275.8957,-97.65425,970.4963,98.21739,-207.410065,970.7349,209.739517,-314.3469,950.218567,307.290833,-131.95137,974.9834,133.2602,-167.923386,974.278931,171.995529,-59.7337151,968.64386,62.1589775,-242.705765,962.137268,240.588562,-22.1800213,965.1446,27.4563961,12.1053171,946.2371,-12.370409
3991179,-0.34,0.17,0.94,-1.87,1.47,-0.92,-0.29,-0.12,0.93,6.05,-0.36,0.4,0.19,0.29,0.94,3.66,8.85,-2.14,-282.383331,961.9683,275.858826,-207.49118,970.8156,209.742569,-97.68079,970.7808,98.26969,-314.398743,950.1619,307.268646,-132.017029,975.1013,133.343216,-168.011108,974.453857,172.02681,-59.7684174,968.967041,62.218,-242.447662,962.1407,240.728943,-22.22495,965.5323,27.4938259,12.1396952,946.7253,-12.3777122
3991190,-0.33,0.17,0.92,-2.07,1.24,-0.75,-0.29,-0.11,0.93,5.77,-0.45,0.34,0.19,0.28,0.94,4.15,8.97,-2.01,-282.4515,961.960449,275.8628,-207.549881,970.857361,209.750275,-132.061523,975.4092,133.323532,-314.440247,950.180237,307.253052,-59.8469429,969.321045,62.26642,-97.82134,971.068542,98.16456,-242.5682,962.084839,240.771683,-168.1168,974.692139,172.024826,-22.2503357,966.040344,27.53345,12.1890554,947.1808,-12.2936563
3991200,-0.34,0.17,0.93,-1.86,1.47,-0.77,-0.29,-0.11,0.93,5.49,-0.69,0.11,0.2,0.28,0.94,4.33,8.97,-1.89,-282.542755,961.9552,275.813538,-207.674667,970.939758,209.726776,-314.55072,950.137451,307.2125,-97.81672,971.3541,98.31738,-132.134964,975.672,133.343948,-59.9012527,969.7858,62.2006264,-168.221375,974.9155,172.0196,-22.3077812,966.432251,27.5916061,-242.90448,962.159546,240.449066,12.0895119,947.5801,-12.2507086
3991210,-0.33,0.17,0.92,-2.03,2.01,-0.9,-0.29,-0.12,0.93,5.11,-0.64,0.27,0.2,0.28,0.94,4.33,8.97,-1.89,-282.635559,961.9934,275.802032,-207.769119,971.0144,209.717438,-314.606873,950.0962,307.17807,-97.88631,971.644165,98.3320541,-132.188339,975.9073,133.344955,-59.8672867,970.21405,62.2632065,-168.235672,975.0725,172.0607,-242.767349,962.145447,240.633118,-22.3397217,966.8087,27.6813812,12.065959,948.187866,-12.2713385
3991220,-0.34,0.16,0.93,-1.46,2.51,-0.66,-0.3,-0.12,0.94,5.23,-0.66,0.34,0.19,0.28,0.94,4.39,8.97,-1.77,-282.691742,961.9861,275.747345,-207.83522,971.1126,209.694153,-314.667755,950.081,307.131317,-132.154724,976.170837,133.412781,-97.92393,971.9628,98.370575,-59.9242554,970.604431,62.2268333,-168.36113,975.1912,172.0762,-242.829834,962.1995,240.5833,-22.3909283,967.1993,27.63931,12.1269913,948.6639,-12.2045517
3991230,-0.34,0.16,0.93,-1,2.41,-0.48,-0.3,-0.12,0.92,5.56,-0.47,0.72,0.19,0.29,0.95,4.21,9.09,-1.65,-282.771423,962.0185,275.707,-207.941284,971.1793,209.6828,-314.746246,950.1145,307.105164,-132.248474,976.399536,133.441055,-97.9721,972.2641,98.40181,-60.0273438,970.9384,62.2911148,-168.411545,975.350952,172.084885,-242.865326,962.222656,240.558044,-22.4503956,967.617432,27.67729,12.145112,949.0102,-12.2107506
3991240,-0.34,0.17,0.93,-0.31,2.31,-0.13,-0.3,-0.12,0.92,5.2,-0.05,0.63,0.19,0.29,0.95,3.97,9.22,-1.53,-282.839844,962.001831,275.709869,-208.034241,971.2864,209.706741,-314.808258,950.062561,307.11142,-132.3661,976.6633,133.472092,-98.05189,972.5984,98.44705,-168.435913,975.4327,172.116837,-60.0792656,971.262,62.3859138,-242.933167,962.2812,240.546875,-22.484024,968.0883,27.7030582,12.1217222,949.551758,-12.0924072
